"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Rnaseh2a1",9.55031840224625e-67,0.416803207092692,0.505,0.069,1.61161623037905e-62,"Stem IR","Rnaseh2a"
"Timm103",1.30487688707769e-66,0.487776068731002,0.578,0.091,2.2019797469436e-62,"Stem IR","Timm10"
"Rps244",1.57888430501784e-66,1.28556515067907,1,0.944,2.66436726471761e-62,"Stem IR","Rps24"
"Ifngr13",2.83709027367083e-66,0.654651000924661,0.752,0.162,4.78758983681952e-62,"Stem IR","Ifngr1"
"Grpel12",3.32459405858981e-66,0.727764860019537,0.881,0.235,5.61025247387031e-62,"Stem IR","Grpel1"
"Rplp13",3.79655118030289e-66,1.36961051947457,1,0.964,6.40668011676112e-62,"Stem IR","Rplp1"
"Ppih1",3.97371723465466e-66,0.474462550741582,0.505,0.07,6.70564783347974e-62,"Stem IR","Ppih"
"Rpl143",7.19504711463058e-66,1.302632195715,1,0.883,1.21416420059391e-61,"Stem IR","Rpl14"
"Rrs11",7.52497124622158e-66,0.427562426244432,0.459,0.059,1.26983889779989e-61,"Stem IR","Rrs1"
"Acp53",8.15184251988996e-66,0.481133122102914,0.615,0.102,1.37562342523143e-61,"Stem IR","Acp5"
"Hspe14",8.56711373901199e-66,1.35318096754004,1,0.499,1.44570044345827e-61,"Stem IR","Hspe1"
"Wdr183",9.29953839597565e-66,0.561236941811806,0.624,0.11,1.56929710432089e-61,"Stem IR","Wdr18"
"Rps194",1.3027511659557e-65,1.3167193979332,1,0.935,2.19839259255024e-61,"Stem IR","Rps19"
"Psma23",1.74720431400648e-65,0.892387637944313,0.954,0.361,2.94840727988594e-61,"Stem IR","Psma2"
"Cebpb3",2.35079037808479e-65,0.672513969228798,0.716,0.148,3.96695876301809e-61,"Stem IR","Cebpb"
"Mrps18b3",2.40694881643492e-65,0.629937864190827,0.651,0.125,4.06172612773393e-61,"Stem IR","Mrps18b"
"Eif2b11",3.41017459619697e-65,0.489289649662229,0.56,0.088,5.75466963108238e-61,"Stem IR","Eif2b1"
"Birc51",5.04262193723991e-65,0.668087132277061,0.422,0.051,8.50942451909235e-61,"Stem IR","Birc5"
"Rps214",5.66031195741408e-65,1.61353203275117,1,0.911,9.55177642813627e-61,"Stem IR","Rps2"
"Timm502",7.50936324938006e-65,0.525539986449741,0.651,0.119,1.26720504833288e-60,"Stem IR","Timm50"
"Cdca71",9.41825507252685e-65,0.330129282991078,0.349,0.034,1.58933054348891e-60,"Stem IR","Cdca7"
"Perp1",1.22729744322268e-64,1.03190114237631,0.844,0.26,2.07106443543827e-60,"Stem IR","Perp"
"Psmb33",1.23818242850148e-64,1.01881368518833,0.945,0.338,2.08943284809624e-60,"Stem IR","Psmb3"
"Rpl233",1.24044160136028e-64,1.23212460525999,1,0.958,2.09324520229548e-60,"Stem IR","Rpl23"
"Gm11233",2.13664253815999e-64,0.962208564073711,0.872,0.235,3.60558428314498e-60,"Stem IR","Gm1123"
"Rpl18a3",2.64343895495491e-64,1.25288602960897,1,0.932,4.46080323648641e-60,"Stem IR","Rpl18a"
"Rpl123",3.01420537425732e-64,1.37632845482953,1,0.847,5.08647156905922e-60,"Stem IR","Rpl12"
"Etv4",3.59988022947104e-64,0.335236919049423,0.394,0.044,6.07479788723239e-60,"Stem IR","Etv4"
"Plcb33",3.87388920451712e-64,0.403909323644312,0.523,0.075,6.53718803262264e-60,"Stem IR","Plcb3"
"Ahsa1",4.02501262618325e-64,0.502415577305613,0.541,0.084,6.79220880668423e-60,"Stem IR","Ahsa1"
"Rpl44",4.59171337406899e-64,1.22549824967825,1,0.794,7.74851631874142e-60,"Stem IR","Rpl4"
"Rpl154",5.72915204616833e-64,1.28284313448218,1,0.906,9.66794407790906e-60,"Stem IR","Rpl15"
"Rplp03",7.02130691334821e-64,1.5350515873114,1,0.953,1.18484554162751e-59,"Stem IR","Rplp0"
"Mrpl212",8.27945214330477e-64,0.708759818090814,0.862,0.234,1.39715754918268e-59,"Stem IR","Mrpl21"
