"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Lman2",3.64952033238974e-24,0.547984081050289,0.875,0.303,6.15856556090768e-20,"Ent H","Lman2"
"Gstt2",4.48673506536018e-24,0.411601364058986,0.643,0.153,7.57136542279531e-20,"Ent H","Gstt2"
"March5",4.50996805763028e-24,0.424431844828019,0.679,0.17,7.61057109725111e-20,"Ent H","March5"
"Ifngr1",4.5393595471699e-24,0.464884492732578,0.661,0.166,7.6601692358492e-20,"Ent H","Ifngr1"
"Cox7a2l1",4.62301898770625e-24,0.690669197901754,0.964,0.512,7.8013445417543e-20,"Ent H","Cox7a2l"
"Wdr89",4.79563868188237e-24,0.676870886931942,0.768,0.244,8.0926402756765e-20,"Ent H","Wdr89"
"Mrpl30",5.09636640575038e-24,0.628621372444959,0.839,0.297,8.60011830970377e-20,"Ent H","Mrpl30"
"Sec22b",5.27319690033485e-24,0.462270556719141,0.661,0.166,8.89851976931506e-20,"Ent H","Sec22b"
"Hipk2",6.08672985234818e-24,0.461201028822199,0.768,0.221,1.02713566258375e-19,"Ent H","Hipk2"
"Nubp1",6.34527394776626e-24,0.34927240228963,0.554,0.114,1.07076497868556e-19,"Ent H","Nubp1"
"Naxe",6.62214534414835e-24,0.43377060175407,0.643,0.159,1.11748702682503e-19,"Ent H","Naxe"
"Pex11g",6.69440770001994e-24,0.288878746406747,0.446,0.077,1.12968129937836e-19,"Ent H","Pex11g"
"Atp5g21",6.74908953169105e-24,0.822600851484023,0.964,0.618,1.13890885847287e-19,"Ent H","Atp5g2"
"Slirp",7.03352343855472e-24,0.504145135511906,0.714,0.196,1.18690708025611e-19,"Ent H","Slirp"
"Mrpl9",8.29955598686334e-24,0.40892323400656,0.571,0.126,1.40055007278319e-19,"Ent H","Mrpl9"
"Crb3",8.96464233056612e-24,0.42795060137387,0.75,0.201,1.51278339328303e-19,"Ent H","Crb3"
"B4galnt11",1.05967110461435e-23,0.497865359243015,0.857,0.268,1.78819498903672e-19,"Ent H","B4galnt1"
"Ppib1",1.10618398364799e-23,0.700935763391895,0.982,0.654,1.86668547240599e-19,"Ent H","Ppib"
"Parp9",1.15546149897582e-23,0.326576549957748,0.464,0.085,1.9498412795217e-19,"Ent H","Parp9"
"Prkcd1",1.21040325063883e-23,0.411914980153791,0.589,0.133,2.04255548545302e-19,"Ent H","Prkcd"
"Fbp22",1.33190993604483e-23,0.688645480470453,1,0.652,2.24759801707565e-19,"Ent H","Fbp2"
"Thra",1.43257225543338e-23,0.401137130722929,0.714,0.186,2.41746568104383e-19,"Ent H","Thra"
"Prdx4",1.45389694182461e-23,0.375064890413154,0.411,0.068,2.45345108932903e-19,"Ent H","Prdx4"
"Ubfd1",1.61026602335685e-23,0.378742770858526,0.607,0.139,2.71732391441468e-19,"Ent H","Ubfd1"
"Higd1a2",1.73697733479823e-23,0.570152035173264,0.929,0.335,2.93114925247202e-19,"Ent H","Higd1a"
"Mrpl58",1.75672314547464e-23,0.46245527657867,0.75,0.214,2.96447030798846e-19,"Ent H","Mrpl58"
"Sec24d",2.04260310812416e-23,0.367166086343954,0.411,0.07,3.44689274495952e-19,"Ent H","Sec24d"
"Stoml2",2.2305753915056e-23,0.399467418636772,0.589,0.134,3.7640959731657e-19,"Ent H","Stoml2"
"Coa5",2.32112939649401e-23,0.336305982304859,0.571,0.123,3.91690585658364e-19,"Ent H","Coa5"
"Eif61",2.43270988544188e-23,0.60450726602763,0.982,0.444,4.10519793168318e-19,"Ent H","Eif6"
"Fam98c1",2.69745859467213e-23,0.481504201547022,0.786,0.23,4.55196137850922e-19,"Ent H","Fam98c"
"Golm11",3.24224026539562e-23,0.323932353850241,0.464,0.084,5.47128044785511e-19,"Ent H","Golm1"
"Ybx11",4.55610127889723e-23,0.685678885952419,1,0.848,7.68842090813907e-19,"Ent H","Ybx1"
"Ihh",5.05862609336208e-23,0.254201292088479,0.375,0.058,8.53643153254851e-19,"Ent H","Ihh"
"Smim11",5.16554328290358e-23,0.397281147542948,0.589,0.135,8.71685428989979e-19,"Ent H","Smim11"
"Ap2a2",5.18891361002265e-23,0.47946320380878,0.679,0.182,8.75629171691322e-19,"Ent H","Ap2a2"
"Banf1",5.27473594056195e-23,0.461455243750893,0.732,0.203,8.90111689969829e-19,"Ent H","Banf1"
"Cd2ap",5.93065712733422e-23,0.546427461090404,0.857,0.296,1.00079839023765e-18,"Ent H","Cd2ap"
"Mrps5",6.27755670373395e-23,0.569034989285803,0.589,0.148,1.0593376937551e-18,"Ent H","Mrps5"
"Tmed42",6.62680543138449e-23,0.533165580421894,0.839,0.284,1.11827341654613e-18,"Ent H","Tmed4"
"Mrpl28",7.93776501985556e-23,0.47603001706552,0.786,0.24,1.33949784710063e-18,"Ent H","Mrpl28"
"Ss18l2",7.99228785823532e-23,0.485772703815079,0.625,0.162,1.34869857607721e-18,"Ent H","Ss18l2"
"Slc2a5",9.5397367989193e-23,0.471916030254693,0.429,0.077,1.60983058481763e-18,"Ent H","Slc2a5"
"Mpi",1.07189042373243e-22,0.352016693655748,0.482,0.094,1.80881509004847e-18,"Ent H","Mpi"
"Vps28",1.13722916837006e-22,0.508555053575097,0.893,0.323,1.91907422162447e-18,"Ent H","Vps28"
"Clint1",1.16968578328727e-22,0.629442410857314,0.714,0.219,1.97384475929727e-18,"Ent H","Clint1"
"Dnajc30",1.18359867852553e-22,0.304086388846102,0.429,0.076,1.99732277001183e-18,"Ent H","Dnajc30"
"Slc25a24",1.19315465662593e-22,0.333757311664844,0.607,0.138,2.01344848305626e-18,"Ent H","Slc25a24"
"Phf5a",1.40693873133922e-22,0.437962232517676,0.75,0.213,2.37420910913493e-18,"Ent H","Phf5a"
"Pink1",1.57620311931858e-22,0.360205250282843,0.607,0.143,2.6598427638501e-18,"Ent H","Pink1"
"Ndufa21",1.59468549791112e-22,0.594412625039097,0.982,0.647,2.69103177772501e-18,"Ent H","Ndufa2"
"Pdcd10",1.67835441873269e-22,0.439065737710268,0.804,0.244,2.83222308161141e-18,"Ent H","Pdcd10"
"Ndufa71",1.75061863751435e-22,0.631607632546019,0.982,0.63,2.95416895080547e-18,"Ent H","Ndufa7"
"Tmem258",1.76900621900343e-22,0.68227338521529,0.821,0.324,2.98519799456829e-18,"Ent H","Tmem258"
"Psmd8",1.93004211414604e-22,0.531588310225481,0.893,0.331,3.25694606762144e-18,"Ent H","Psmd8"
"Rab5c",2.05025759162036e-22,0.485567214076987,0.821,0.267,3.45980968585936e-18,"Ent H","Rab5c"
"Myl12a",2.09758245646897e-22,0.466530081566178,0.75,0.216,3.53967039529139e-18,"Ent H","Myl12a"
"Tmbim4",2.10779396048989e-22,0.48919751506604,0.893,0.309,3.5569023083267e-18,"Ent H","Tmbim4"
"Vps29",2.11432373375826e-22,0.476224267260381,0.786,0.241,3.56792130071706e-18,"Ent H","Vps29"
"Tmem106a1",2.57058148770555e-22,0.357839860015757,0.625,0.148,4.33785626050311e-18,"Ent H","Tmem106a"
"Slc35f5",2.61999748639458e-22,0.35343134719289,0.536,0.116,4.42124575829085e-18,"Ent H","Slc35f5"
"Sgpl1",2.74813695581946e-22,0.439548711444046,0.589,0.144,4.63748111294534e-18,"Ent H","Sgpl1"
"Trap1",2.83554928964938e-22,0.35286831581717,0.518,0.108,4.78498942628333e-18,"Ent H","Trap1"
"Spcs23",2.95623321686933e-22,0.664876448156948,0.946,0.41,4.988643553467e-18,"Ent H","Spcs2"
"Cenpv",3.85570485793561e-22,0.494211572460943,0.821,0.27,6.50650194776634e-18,"Ent H","Cenpv"
"Cyp3a11",4.43600627009563e-22,1.12974421223942,0.375,0.065,7.48576058078637e-18,"Ent H","Cyp3a11"
"Lamtor22",4.43878837773955e-22,0.555301280200284,1,0.475,7.49045538743549e-18,"Ent H","Lamtor2"
"Max",5.24663703352886e-22,0.320544051534737,0.536,0.115,8.85369999407995e-18,"Ent H","Max"
"Misp1",5.46127957820169e-22,0.576505243233982,0.893,0.347,9.21590928821535e-18,"Ent H","Misp"
"Itpka",5.49987316267538e-22,0.260299965699676,0.357,0.055,9.2810359620147e-18,"Ent H","Itpka"
"Mrpl13",5.5980162664359e-22,0.445791050673465,0.571,0.138,9.44665244961059e-18,"Ent H","Mrpl13"
"B2m2",6.33850093576847e-22,0.735490124241273,1,0.593,1.06962203291093e-17,"Ent H","B2m"
"Timm44",6.48047897479902e-22,0.34927240228963,0.536,0.117,1.09358082699733e-17,"Ent H","Timm44"
"Mocs22",6.54613472409043e-22,0.582252805898747,0.911,0.342,1.10466023469026e-17,"Ent H","Mocs2"
"Trim313",7.97664954705535e-22,0.500206619403113,0.804,0.252,1.34605961106559e-17,"Ent H","Trim31"
"Mcur1",8.54297852597574e-22,0.349833412122016,0.589,0.138,1.44162762625841e-17,"Ent H","Mcur1"
"Commd11",8.5936359784878e-22,0.500049642281638,0.75,0.235,1.45017607136982e-17,"Ent H","Commd1"
"Prdx23",9.39555938912725e-22,0.644203089215059,1,0.638,1.58550064691522e-17,"Ent H","Prdx2"
"Mrpl21",9.62005506677643e-22,0.564454511760777,0.732,0.239,1.62338429251852e-17,"Ent H","Mrpl21"
"Derl2",1.05342343980944e-21,0.381668561264417,0.661,0.173,1.77765205467844e-17,"Ent H","Derl2"
"Alg5",1.11539249860025e-21,0.416835210662418,0.607,0.152,1.88222484138792e-17,"Ent H","Alg5"
"Psma3",1.19995517632509e-21,0.620964584117202,0.946,0.447,2.02492436004859e-17,"Ent H","Psma3"
"Csnk2b",1.25248890011783e-21,0.425151534813341,0.839,0.262,2.11357501894884e-17,"Ent H","Csnk2b"
"Tomm40",1.4526716533604e-21,0.504083126363814,0.696,0.201,2.45138341504567e-17,"Ent H","Tomm40"
"Aldh18a1",1.48480940998812e-21,0.403697678608727,0.5,0.109,2.50561587935496e-17,"Ent H","Aldh18a1"
"Lasp1",1.53829994187385e-21,0.453125554774091,0.786,0.245,2.59588115191212e-17,"Ent H","Lasp1"
"Mrps18b",1.86615437702629e-21,0.429051544026696,0.554,0.129,3.14913551123187e-17,"Ent H","Mrps18b"
"Mrps25",1.96726023104407e-21,0.439657052425084,0.589,0.145,3.31975163988687e-17,"Ent H","Mrps25"
"mt-Nd11",2.0543440176582e-21,0.71088653000246,1,0.993,3.46670552979821e-17,"Ent H","mt-Nd1"
"Cst62",2.24576053150348e-21,0.376503134882417,0.911,0.289,3.78972089691212e-17,"Ent H","Cst6"
"Ptprh",2.3114765330713e-21,0.396904726078386,0.554,0.128,3.90061664955782e-17,"Ent H","Ptprh"
"Pfn12",3.28650933751607e-21,0.590896816306126,0.982,0.682,5.54598450705836e-17,"Ent H","Pfn1"
"Adk",3.80291924013993e-21,0.293551350522187,0.429,0.079,6.41742621773613e-17,"Ent H","Adk"
"Fam96a",4.2260402648013e-21,0.457421033163616,0.714,0.213,7.1314429468522e-17,"Ent H","Fam96a"
"Calu",4.27203242078167e-21,0.272474956512432,0.429,0.079,7.20905471006908e-17,"Ent H","Calu"
"Ndfip1",4.48871583419629e-21,0.348711707012816,0.536,0.121,7.57470797020625e-17,"Ent H","Ndfip1"
"Mecr",4.85646410685464e-21,0.280466499112095,0.429,0.079,8.19528318031721e-17,"Ent H","Mecr"
"Ralgps2",4.92959067522044e-21,0.365928356372836,0.554,0.127,8.31868426443449e-17,"Ent H","Ralgps2"
"Cops61",5.03259010414769e-21,0.414584289351213,0.786,0.238,8.49249580074922e-17,"Ent H","Cops6"
"Lamtor5",5.07575953091804e-21,0.427583786998528,0.679,0.191,8.56534420842419e-17,"Ent H","Lamtor5"
"Cib12",5.22435721390466e-21,0.581703714574463,1,0.584,8.81610279846412e-17,"Ent H","Cib1"
"BC003965",5.30324850375807e-21,0.362317692921013,0.536,0.122,8.94923185009174e-17,"Ent H","BC003965"
"Sec61b2",7.43829096311117e-21,0.728013221655709,0.982,0.675,1.25521160002501e-16,"Ent H","Sec61b"
"Aurkaip1",8.38572380814053e-21,0.490148279144451,0.821,0.288,1.41509089262371e-16,"Ent H","Aurkaip1"
"Rars",8.90305449936572e-21,0.402923235635802,0.625,0.163,1.50239044676796e-16,"Ent H","Rars"
"Yipf1",9.45666737966858e-21,0.422974009260758,0.804,0.255,1.59581262031907e-16,"Ent H","Yipf1"
"BC031181",9.48020842417347e-21,0.471497937966639,0.911,0.336,1.59978517157927e-16,"Ent H","BC031181"
"Ltbr",9.7530192100253e-21,0.387467791066251,0.643,0.171,1.64582199169177e-16,"Ent H","Ltbr"
"Cyp4v3",1.12712492905121e-20,0.574950378416064,0.518,0.123,1.90202331777392e-16,"Ent H","Cyp4v3"
"Lamtor4",1.15803337246261e-20,0.51863240735172,0.875,0.332,1.95418131603066e-16,"Ent H","Lamtor4"
"Ccdc88c",1.22257280044017e-20,0.332681912537346,0.464,0.095,2.06309160074279e-16,"Ent H","Ccdc88c"
"Rnf5",1.32458957587513e-20,0.403746599350464,0.661,0.181,2.23524490928929e-16,"Ent H","Rnf5"
"Stx12",1.59962496058978e-20,0.379209996247972,0.625,0.162,2.69936712099526e-16,"Ent H","Stx12"
"Mlf2",1.63948531675642e-20,0.489622549894161,0.857,0.314,2.76663147202646e-16,"Ent H","Mlf2"
"Tm9sf2",1.68534479908419e-20,0.480742456597902,0.786,0.27,2.84401934845458e-16,"Ent H","Tm9sf2"
"Gchfr",1.88032840190057e-20,0.388241834684742,0.375,0.067,3.17305417820721e-16,"Ent H","Gchfr"
"Swt1",1.91930229938485e-20,0.389270453131209,0.625,0.164,3.23882263021193e-16,"Ent H","Swt1"
"Serp11",2.27703422784296e-20,0.463187350273122,0.875,0.301,3.842495259485e-16,"Ent H","Serp1"
"Lrrfip2",2.29545378292528e-20,0.335901729560542,0.554,0.13,3.8735782586864e-16,"Ent H","Lrrfip2"
"Atp5e1",2.42782576184714e-20,0.52926189256378,1,0.901,4.09695597311705e-16,"Ent H","Atp5e"
"Atg5",2.54391562922008e-20,0.325770600069993,0.589,0.144,4.29285762430889e-16,"Ent H","Atg5"
"Mrps23",2.93402883948251e-20,0.346398315387234,0.554,0.131,4.95117366662674e-16,"Ent H","Mrps23"
"Tmem70",2.96768154666718e-20,0.341695015219044,0.5,0.11,5.00796261000086e-16,"Ent H","Tmem70"
"Nadk",3.30727267527718e-20,0.374670335268955,0.643,0.172,5.58102263953024e-16,"Ent H","Nadk"
"Ssr23",3.41868574828363e-20,0.623612928932881,0.929,0.458,5.76903220022863e-16,"Ent H","Ssr2"
"Sem11",3.50544899215609e-20,0.65425766571687,0.964,0.619,5.9154451742634e-16,"Ent H","Sem1"
"Tango2",3.70011228399448e-20,0.262822035132386,0.411,0.076,6.24393947924069e-16,"Ent H","Tango2"
"St14",3.80919290312629e-20,0.381243029343102,0.607,0.156,6.42801302402562e-16,"Ent H","St14"
"Sec31a",4.17725819354389e-20,0.506678771272128,0.839,0.312,7.04912320160532e-16,"Ent H","Sec31a"
"Gmds3",4.19639356575911e-20,0.652920504232385,0.821,0.325,7.08141414221849e-16,"Ent H","Gmds"
"Ubac2",4.64834402568413e-20,0.250512348772626,0.375,0.065,7.84408054334197e-16,"Ent H","Ubac2"
"Gfer",4.85931648417846e-20,0.334146815954316,0.571,0.137,8.20009656705114e-16,"Ent H","Gfer"
"Erbb3",5.36547333530633e-20,0.39017452180492,0.732,0.216,9.05423625332944e-16,"Ent H","Erbb3"
"Atp6v0e1",5.66178194125765e-20,0.529688876420777,0.946,0.416,9.55425702587228e-16,"Ent H","Atp6v0e"
"Mvb12a",5.67105253155987e-20,0.450763217218221,0.75,0.248,9.56990114700728e-16,"Ent H","Mvb12a"
"Ndufv31",5.74934796022826e-20,0.576353418433556,1,0.638,9.70202468288518e-16,"Ent H","Ndufv3"
"Zfp706",5.94735200028124e-20,0.509652680090149,0.964,0.402,1.00361565004746e-15,"Ent H","Zfp706"
"Tmco1",6.47533469071528e-20,0.447082269131678,0.679,0.203,1.0927127290582e-15,"Ent H","Tmco1"
"Rpl36al2",6.71594716838495e-20,0.756948722419883,1,0.734,1.13331608466496e-15,"Ent H","Rpl36al"
"Mrpl38",9.17489208219781e-20,0.38419222611092,0.554,0.136,1.54826303887088e-15,"Ent H","Mrpl38"
"Krtcap22",9.7345052719435e-20,0.663770043342332,0.857,0.4,1.64269776464047e-15,"Ent H","Krtcap2"
"Vdac32",1.09319317617132e-19,0.478810594521552,0.911,0.355,1.8447634847891e-15,"Ent H","Vdac3"
"Dsc2",1.09616114904273e-19,0.285386169337846,0.464,0.096,1.8497719390096e-15,"Ent H","Dsc2"
"Rac1",1.28976637070698e-19,0.445577713921437,0.893,0.322,2.17648075056802e-15,"Ent H","Rac1"
"Sec11a1",1.35502126256411e-19,0.470806793230703,0.875,0.319,2.28659838057693e-15,"Ent H","Sec11a"
"Ncln",1.43959969789448e-19,0.404295195114365,0.625,0.174,2.42932449019694e-15,"Ent H","Ncln"
"Tmem208",1.55868901683903e-19,0.522048296621227,0.875,0.348,2.63028771591586e-15,"Ent H","Tmem208"
"Ift43",1.6848003382892e-19,0.266697326225001,0.393,0.073,2.84310057086303e-15,"Ent H","Ift43"
"Gale",1.70860240756739e-19,0.457828751453656,0.768,0.257,2.88326656276997e-15,"Ent H","Gale"
"Arf4",1.78245940067646e-19,0.570720899309543,0.911,0.397,3.00790023864153e-15,"Ent H","Arf4"
"Oaz1",1.86671157146463e-19,0.503172555137887,1,0.892,3.15007577684656e-15,"Ent H","Oaz1"
"Ormdl2",1.98080883097317e-19,0.382586198593823,0.643,0.178,3.34261490226722e-15,"Ent H","Ormdl2"
"Net1",2.04825815132346e-19,0.349195656998359,0.607,0.156,3.45643563035834e-15,"Ent H","Net1"
"AA4671972",2.09007197864388e-19,0.759150343277292,0.696,0.211,3.52699646396155e-15,"Ent H","AA467197"
"Cox172",2.12580138062344e-19,0.511057444833845,0.982,0.427,3.58728982980206e-15,"Ent H","Cox17"
"Mrps7",2.25077086494027e-19,0.396096615818878,0.661,0.189,3.79817583458671e-15,"Ent H","Mrps7"
"Etfdh",2.44517147671732e-19,0.310692274503512,0.411,0.081,4.12622686696047e-15,"Ent H","Etfdh"
"Cnih1",2.80855953674661e-19,0.366671976484845,0.643,0.177,4.73944421825991e-15,"Ent H","Cnih1"
"Faah",2.87712227999819e-19,0.447267057004548,0.679,0.207,4.85514384749694e-15,"Ent H","Faah"
"Cnpy23",2.92659093398884e-19,0.47878195107517,0.839,0.318,4.93862220110616e-15,"Ent H","Cnpy2"
"Tdp2",3.18447538806428e-19,0.301837503843279,0.429,0.087,5.37380221735847e-15,"Ent H","Tdp2"
"Trappc2l",3.41248429291095e-19,0.401943475001118,0.804,0.262,5.75856724428724e-15,"Ent H","Trappc2l"
"Rpl271",3.67215590513076e-19,0.86178200063263,0.982,0.695,6.19676308990816e-15,"Ent H","Rpl27"
"Psmb5",3.98385622382127e-19,0.542132070902719,0.946,0.42,6.72275737769839e-15,"Ent H","Psmb5"
"Amn2",4.0666742527268e-19,0.510270175415466,0.732,0.235,6.86251280147647e-15,"Ent H","Amn"
"Rpia",4.20458277585883e-19,0.304160115501724,0.411,0.081,7.09523343426178e-15,"Ent H","Rpia"
"Mrpl49",4.36020934421163e-19,0.329382801650725,0.5,0.115,7.35785326835712e-15,"Ent H","Mrpl49"
"Cmpk12",4.56120223447245e-19,0.48048295837165,0.964,0.398,7.69702877067227e-15,"Ent H","Cmpk1"
"Ext1",4.60769978963961e-19,0.250631134779774,0.357,0.062,7.77549339501684e-15,"Ent H","Ext1"
"Prr13",4.99803469217584e-19,0.45325722670051,0.893,0.338,8.43418354304673e-15,"Ent H","Prr13"
"Galt",5.50948080628565e-19,0.267927639168086,0.429,0.086,9.29724886060703e-15,"Ent H","Galt"
"Efna1",5.54734312787346e-19,0.345529894721395,0.482,0.11,9.36114152828646e-15,"Ent H","Efna1"
"Smim7",5.57192213575702e-19,0.426607990456933,0.821,0.283,9.40261860408998e-15,"Ent H","Smim7"
"Mdp1",5.8909758408919e-19,0.373057865153386,0.643,0.181,9.94102173150509e-15,"Ent H","Mdp1"
"Cblc",5.91040782964557e-19,0.338465263646437,0.554,0.137,9.97381321252689e-15,"Ent H","Cblc"
"Atad3a",6.219129599976e-19,0.27944543967431,0.429,0.086,1.04947811999595e-14,"Ent H","Atad3a"
"mt-Nd42",7.06593890653716e-19,0.667345052684534,1,0.996,1.19237719047815e-14,"Ent H","mt-Nd4"
"Tprn",7.28489887433862e-19,0.282221965743983,0.375,0.069,1.22932668504464e-14,"Ent H","Tprn"
"Snx6",7.56417888300905e-19,0.414365639815153,0.696,0.213,1.27645518650778e-14,"Ent H","Snx6"
"Smim20",8.10879603211052e-19,0.402616385440083,0.607,0.169,1.36835933041865e-14,"Ent H","Smim20"
"Nudt7",8.63174725377439e-19,0.27710546276119,0.357,0.064,1.45660734907443e-14,"Ent H","Nudt7"
"Mcee",9.18780191498151e-19,0.395986791639144,0.625,0.178,1.55044157315313e-14,"Ent H","Mcee"
"Rps27l",1.00961667312098e-18,0.535268387116719,1,0.74,1.70372813589166e-14,"Ent H","Rps27l"
"Arl11",1.01684581014564e-18,0.453045097130974,0.786,0.272,1.71592730462076e-14,"Ent H","Arl1"
"Wdr18",1.14058254634802e-18,0.30313723159633,0.5,0.115,1.92473304696229e-14,"Ent H","Wdr18"
"Pex19",1.14974297617095e-18,0.294987591179461,0.536,0.128,1.94019127228848e-14,"Ent H","Pex19"
"Snrpn",1.21362567398634e-18,0.307215747605969,0.518,0.122,2.04799332485195e-14,"Ent H","Snrpn"
"Tor1a",1.25905403266978e-18,0.311252786774056,0.464,0.103,2.12465368013026e-14,"Ent H","Tor1a"
"Mrps18a",1.30125239045814e-18,0.387019991907699,0.643,0.186,2.19586340889812e-14,"Ent H","Mrps18a"
"Chmp6",1.30669931075725e-18,0.366043243361336,0.643,0.183,2.20505508690286e-14,"Ent H","Chmp6"
"Ctsc2",1.37372543573574e-18,0.295716865377589,0.607,0.153,2.31816167280406e-14,"Ent H","Ctsc"
"Nampt",1.48425927848104e-18,0.283126143162563,0.446,0.095,2.50468753243676e-14,"Ent H","Nampt"
"Manf2",1.51667716414486e-18,0.590566418034429,0.946,0.515,2.55939271449445e-14,"Ent H","Manf"
"Vapa1",1.52934192250028e-18,0.473230438810218,0.893,0.354,2.58076449421923e-14,"Ent H","Vapa"
"Ola1",1.55314411144534e-18,0.457451439600937,0.607,0.177,2.62093068806401e-14,"Ent H","Ola1"
"Atg4d",1.55371208407275e-18,0.340882581601931,0.554,0.142,2.62188914187276e-14,"Ent H","Atg4d"
"Fzd5",1.6100374621755e-18,0.355067834633411,0.446,0.098,2.71693821742115e-14,"Ent H","Fzd5"
"Idnk",1.63371000977694e-18,0.3659644202321,0.696,0.21,2.75688564149859e-14,"Ent H","Idnk"
"Cxadr",1.87507544891303e-18,0.328183940425163,0.536,0.132,3.16418982004073e-14,"Ent H","Cxadr"
"Tmx2",2.25845916151536e-18,0.331837200429462,0.518,0.126,3.81114983505718e-14,"Ent H","Tmx2"
"Rab3gap2",2.44295975692392e-18,0.293124032865274,0.5,0.116,4.12249458980911e-14,"Ent H","Rab3gap2"
"Gsk3a",2.48676443435119e-18,0.304302379941462,0.482,0.111,4.19641498296764e-14,"Ent H","Gsk3a"
"A430005L14Rik",2.57107032331387e-18,0.269819482669124,0.446,0.095,4.33868117059215e-14,"Ent H","A430005L14Rik"
"1700021F05Rik",2.68318713968163e-18,0.292830514545663,0.446,0.096,4.52787829821275e-14,"Ent H","1700021F05Rik"
"Sec61g",3.38283480795132e-18,0.617913212909533,0.964,0.67,5.70853373841786e-14,"Ent H","Sec61g"
"Nedd81",3.46807356516719e-18,0.541791662644717,0.964,0.508,5.85237414121963e-14,"Ent H","Nedd8"
"Klf3",3.5091585454652e-18,0.409598030199715,0.768,0.253,5.92170504547252e-14,"Ent H","Klf3"
"Phyh1",3.61073851191289e-18,0.560019897315215,0.821,0.318,6.093121238853e-14,"Ent H","Phyh"
"Magt1",3.87050824726807e-18,0.473867617243086,0.768,0.282,6.53148266726487e-14,"Ent H","Magt1"
"Dhrs7",4.29664656611877e-18,0.35673920922586,0.5,0.121,7.25059108032543e-14,"Ent H","Dhrs7"
"Dpp43",5.04419440131318e-18,0.619969501879135,0.696,0.231,8.51207805221599e-14,"Ent H","Dpp4"
"Atp10b",5.22650342662229e-18,0.277747685349062,0.375,0.072,8.81972453242512e-14,"Ent H","Atp10b"
"Btf3",5.31249995588739e-18,0.665992368060169,0.946,0.657,8.96484367555998e-14,"Ent H","Btf3"
"Ppp1cc",5.57611865008843e-18,0.372388097686489,0.661,0.194,9.40970022202423e-14,"Ent H","Ppp1cc"
"Cpox",5.61755580182244e-18,0.268742303164262,0.411,0.084,9.47962541557536e-14,"Ent H","Cpox"
"Ecsit",5.87646197816916e-18,0.296285147184563,0.429,0.091,9.91652958816046e-14,"Ent H","Ecsit"
"Tspo",6.10425420123311e-18,0.572588538494461,0.75,0.281,1.03009289645809e-13,"Ent H","Tspo"
"Mrpl46",6.6505114297993e-18,0.350897242009581,0.589,0.161,1.12227380377863e-13,"Ent H","Mrpl46"
"1500011K16Rik",6.74823447753179e-18,0.374374521038133,0.536,0.14,1.13876456808349e-13,"Ent H","1500011K16Rik"
"Trpm4",6.82724826782796e-18,0.296563957148538,0.464,0.104,1.15209814519597e-13,"Ent H","Trpm4"
"Phpt1",6.89235066246638e-18,0.353683590136017,0.518,0.129,1.1630841742912e-13,"Ent H","Phpt1"
"Tjp32",7.33981129004251e-18,0.355912458198398,0.661,0.191,1.23859315519467e-13,"Ent H","Tjp3"
"Aimp1",7.54170509445829e-18,0.425377891570214,0.786,0.276,1.27266273468984e-13,"Ent H","Aimp1"
"Uap1",8.89899110413309e-18,0.273047895481243,0.429,0.091,1.50170474882246e-13,"Ent H","Uap1"
"Synj2bp",9.13250212159492e-18,0.447061138055612,0.732,0.254,1.54110973301914e-13,"Ent H","Synj2bp"
"Coa4",9.3622089174806e-18,0.275166433182542,0.393,0.079,1.57987275482485e-13,"Ent H","Coa4"
"Coq9",1.02446866950962e-17,0.388475307089243,0.554,0.153,1.72879087979748e-13,"Ent H","Coq9"
"Cox20",1.06547023585045e-17,0.498731915540727,0.732,0.273,1.79798102299764e-13,"Ent H","Cox20"
"Ndufa132",1.1217548763414e-17,0.480770769569492,1,0.835,1.89296135382611e-13,"Ent H","Ndufa13"
"Dctpp1",1.17711975579438e-17,0.312231352290134,0.536,0.133,1.98638958790302e-13,"Ent H","Dctpp1"
"Mrpl16",1.21357964219607e-17,0.309539186080558,0.446,0.1,2.04791564620586e-13,"Ent H","Mrpl16"
"Ptcd2",1.26690638421505e-17,0.268276699617264,0.411,0.085,2.1379045233629e-13,"Ent H","Ptcd2"
"Map2k3",1.32734932074049e-17,0.360810695985874,0.643,0.187,2.23990197874958e-13,"Ent H","Map2k3"
"Psmb6",1.40079621155297e-17,0.499381714316783,0.982,0.556,2.36384360699564e-13,"Ent H","Psmb6"
"Gng12",1.49533204587596e-17,0.522676224961427,0.964,0.498,2.52337282741568e-13,"Ent H","Gng12"
"Psmb4",1.59114206932894e-17,0.524632966269663,0.946,0.522,2.68505224199259e-13,"Ent H","Psmb4"
"Hmbs",1.61836394398824e-17,0.309310927691071,0.446,0.101,2.73098915548016e-13,"Ent H","Hmbs"
"Prelid3b",1.70086836852339e-17,0.402712331912569,0.589,0.171,2.87021537188321e-13,"Ent H","Prelid3b"
"Gsdmd1",1.78796031005184e-17,0.583980036780556,0.607,0.195,3.01718302321248e-13,"Ent H","Gsdmd"
"Tmem541",1.82602106445397e-17,0.503536827903024,0.857,0.36,3.08141054626607e-13,"Ent H","Tmem54"
"Stard4",1.95644978240333e-17,0.340435462939473,0.536,0.137,3.30150900780562e-13,"Ent H","Stard4"
