"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Atp5b2",3.92357081348445e-44,1.0436090532369,1,0.776,6.08545833171439e-40,"Stem","Atp5b"
"Tomm70a1",4.16748956170478e-44,0.68526696279847,0.708,0.17,6.46377631020411e-40,"Stem","Tomm70a"
"Eif4h1",4.20440192718029e-44,0.741457700468216,0.927,0.291,6.52102738905664e-40,"Stem","Eif4h"
"Ssr23",4.48896557861663e-44,0.848295584151205,0.948,0.314,6.96238561243439e-40,"Stem","Ssr2"
"Uba522",4.6337388292028e-44,0.973517411775024,1,0.423,7.18692892409355e-40,"Stem","Uba52"
"Sumo3",4.64919458268566e-44,0.628192640457261,0.729,0.172,7.21090079774545e-40,"Stem","Sumo3"
"Psmd81",4.85886152925505e-44,0.724649486202929,0.865,0.253,7.53609423187459e-40,"Stem","Psmd8"
"Rangap1",4.92154041650346e-44,0.65175408064846,0.688,0.157,7.63330918599687e-40,"Stem","Rangap1"
"Eef1akmt1",5.94648913787324e-44,0.433405606222195,0.417,0.058,9.22300465284139e-40,"Stem","Eef1akmt1"
"Pigx1",6.46515415883409e-44,0.42903113149042,0.406,0.056,1.00274541003517e-39,"Stem","Pigx"
"Syngr22",7.34774053586651e-44,0.707763248341478,0.76,0.193,1.1396345571129e-39,"Stem","Syngr2"
"Rwdd1",8.16752780118584e-44,0.662266404873376,0.75,0.185,1.26678356196392e-39,"Stem","Rwdd1"
"Htra2",8.40926581058692e-44,0.348362602320047,0.323,0.035,1.30427712722203e-39,"Stem","Htra2"
"Ormdl21",8.70720502378324e-44,0.557632352708036,0.625,0.127,1.35048749918878e-39,"Stem","Ormdl2"
"Rps27rt2",8.82080085661656e-44,0.810757370595953,0.948,0.316,1.36810621286123e-39,"Stem","Rps27rt"
"Elof11",8.88433139210117e-44,0.676573499031226,0.771,0.195,1.37795979891489e-39,"Stem","Elof1"
"Stard71",1.20300035838843e-43,0.473011530786299,0.49,0.08,1.86585355586045e-39,"Stem","Stard7"
"Ifngr12",1.21306047866332e-43,0.584521912038808,0.583,0.113,1.88145680240682e-39,"Stem","Ifngr1"
"Alad",1.37449917812402e-43,0.501324226660132,0.531,0.094,2.13184822527036e-39,"Stem","Alad"
"Rpl362",1.37746509940507e-43,1.01505168812595,1,0.851,2.13644836917726e-39,"Stem","Rpl36"
"Rpl9-ps6",1.96046748862555e-43,0.291134091570671,0.24,0.019,3.04068507485824e-39,"Stem","Rpl9-ps6"
"Clpp",2.11548752913953e-43,0.574737829710694,0.688,0.153,3.28112115769541e-39,"Stem","Clpp"
"Higd2a1",2.79657509935916e-43,0.692662367549373,0.781,0.206,4.33748797910606e-39,"Stem","Higd2a"
"Mrpl581",2.82565708094638e-43,0.596799131038745,0.698,0.159,4.38259413254784e-39,"Stem","Mrpl58"
"Eef21",2.85904034316601e-43,0.921145858144884,1,0.785,4.43437157225048e-39,"Stem","Eef2"
"Chek2",2.90129602335894e-43,0.269902983957554,0.229,0.018,4.49991013222972e-39,"Stem","Chek2"
"Oard11",4.25663653143155e-43,0.549877804133702,0.562,0.107,6.60204326025033e-39,"Stem","Oard1"
"Ndufs72",4.32850399479707e-43,0.941131128435393,0.979,0.379,6.71350969593026e-39,"Stem","Ndufs7"
"Fam71a1",4.62046744471351e-43,0.344347213772644,0.24,0.02,7.16634500675065e-39,"Stem","Fam71a"
"Trnau1ap",4.96892944723014e-43,0.424756137413188,0.438,0.065,7.70680957265394e-39,"Stem","Trnau1ap"
"1110004E09Rik",5.2185612532457e-43,0.42233923600897,0.385,0.051,8.09398850378408e-39,"Stem","1110004E09Rik"
"Smarcc1",5.22399777446477e-43,0.592861081878114,0.625,0.131,8.10242054819485e-39,"Stem","Smarcc1"
"Mtch21",6.7464788769904e-43,0.847226286897503,0.885,0.287,1.04637887382121e-38,"Stem","Mtch2"
"Tex30",6.82691044382047e-43,0.346389010985058,0.323,0.036,1.05885380983655e-38,"Stem","Tex30"
"Mesd",7.14204994308401e-43,0.429435116380158,0.448,0.068,1.10773194617233e-38,"Stem","Mesd"
"Tsen34",7.7264911385321e-43,0.595509198974858,0.615,0.128,1.19837877558633e-38,"Stem","Tsen34"
"Pck2",8.87448137225046e-43,0.429753276055257,0.448,0.068,1.37643206083605e-38,"Stem","Pck2"
"Rpl381",9.27720595207016e-43,0.972197113993828,0.99,0.733,1.43889464316608e-38,"Stem","Rpl38"
"Med19",1.05241617344688e-42,0.473840607103516,0.51,0.088,1.63229748501612e-38,"Stem","Med19"
"Nans",1.82326580138783e-42,0.545056397413389,0.594,0.119,2.82788525795252e-38,"Stem","Nans"
"Vdr1",2.73736257467944e-42,0.703612829955255,0.719,0.178,4.24564935332781e-38,"Stem","Vdr"
"Mdh11",3.1006830553079e-42,0.862782220575304,0.979,0.374,4.80915941878256e-38,"Stem","Mdh1"
"Uba2",3.7066785607315e-42,0.501014402748088,0.521,0.093,5.74905844769455e-38,"Stem","Uba2"
"Selenof2",4.41059287021579e-42,0.731048152545274,0.917,0.29,6.84082954170469e-38,"Stem","Selenof"
"Polr2f2",5.50564900971048e-42,0.780416377485872,0.854,0.275,8.53926161406095e-38,"Stem","Polr2f"
"Isy1",5.81460479662138e-42,0.344217527490846,0.302,0.032,9.01845203955975e-38,"Stem","Isy1"
"Ube2a1",6.06832007982481e-42,0.574148734136609,0.646,0.141,9.41196444380827e-38,"Stem","Ube2a"
"Dnajc8",6.16179941639624e-42,0.569912283510813,0.729,0.173,9.55695089483057e-38,"Stem","Dnajc8"
"Cers4",7.83207948237451e-42,0.487960553827349,0.51,0.089,1.21475552771629e-37,"Stem","Cers4"
"Ndufb111",8.38661367063545e-42,0.93079003846849,0.979,0.472,1.30076378031556e-37,"Stem","Ndufb11"
"Comt1",9.79092517544805e-42,0.641376837395805,0.865,0.244,1.51857249471199e-37,"Stem","Comt"
"Srsf61",1.04339068963295e-41,0.668250796453653,0.865,0.245,1.61829895962071e-37,"Stem","Srsf6"
"Naa15",1.17949079504996e-41,0.575751009113883,0.667,0.149,1.82939022312248e-37,"Stem","Naa15"
"Mrpl541",1.25350346412957e-41,0.750054775346203,0.802,0.231,1.94418387286497e-37,"Stem","Mrpl54"
"Prodh1",1.47154271024353e-41,0.327438495095575,0.302,0.032,2.28236274358771e-37,"Stem","Prodh"
"Rae1",1.68145874083303e-41,0.456435366177378,0.479,0.08,2.60794250703204e-37,"Stem","Rae1"
"Kars",2.96382595422152e-41,0.473640293071645,0.479,0.081,4.59689405499757e-37,"Stem","Kars"
"Kti12",3.05616170872015e-41,0.302645757454139,0.271,0.026,4.74010681022496e-37,"Stem","Kti12"
"Nudt51",3.30522966781688e-41,0.458007184722002,0.49,0.084,5.12641121478398e-37,"Stem","Nudt5"
"Ywhae2",3.40420537890109e-41,0.865621686912642,0.99,0.436,5.2799225426756e-37,"Stem","Ywhae"
"Cd320",4.17111342466679e-41,0.4049134591784,0.396,0.056,6.46939692165819e-37,"Stem","Cd320"
"Ndufb101",4.92890294640875e-41,0.880883589998591,0.979,0.391,7.64472846987997e-37,"Stem","Ndufb10"
"Smc6",5.31618265569356e-41,0.66430048361153,0.698,0.17,8.24539929898071e-37,"Stem","Smc6"
"Tbca1",6.02938822172867e-41,0.798170442420775,0.917,0.325,9.35158113190117e-37,"Stem","Tbca"
"Ppm1g",6.34706759242796e-41,0.587089124214947,0.656,0.149,9.84430183585576e-37,"Stem","Ppm1g"
"Sfxn11",7.30033551595634e-41,0.690527073959474,0.844,0.244,1.13228203852483e-36,"Stem","Sfxn1"
"S100a161",8.92226260363e-41,0.370570988745715,0.333,0.04,1.38384292982301e-36,"Stem","S100a16"
"Cox4i13",1.06776199331715e-40,0.990997358851672,1,0.846,1.65609885163491e-36,"Stem","Cox4i1"
"Mdh21",1.1315887934566e-40,0.933988462358909,0.979,0.474,1.75509421865118e-36,"Stem","Mdh2"
"0610012G03Rik1",1.17775694526536e-40,0.723768291784629,0.823,0.24,1.82670102210657e-36,"Stem","0610012G03Rik"
"Psmc41",1.273232370518e-40,0.62239483803774,0.75,0.193,1.97478340667342e-36,"Stem","Psmc4"
"Mrpl332",1.78555390820422e-40,0.694427462404746,0.927,0.293,2.76939411162475e-36,"Stem","Mrpl33"
"Sdad1",1.91886373874008e-40,0.366983410215674,0.354,0.046,2.97615765878586e-36,"Stem","Sdad1"
"Zbtb8os1",1.94657738251228e-40,0.492366237021867,0.531,0.1,3.01914152027655e-36,"Stem","Zbtb8os"
"Rfc1",1.95800250922422e-40,0.613857074229189,0.552,0.112,3.03686189180677e-36,"Stem","Rfc1"
"Timm17a1",2.30460243799388e-40,0.584464716140455,0.646,0.144,3.57443838132851e-36,"Stem","Timm17a"
"Gm45716",2.35627937685446e-40,0.3896856603504,0.396,0.056,3.65458931350127e-36,"Stem","Gm45716"
"Ddx39b",2.64772702294165e-40,0.744999609820739,0.948,0.33,4.10662461258249e-36,"Stem","Ddx39b"
"Mrps331",2.80252367150835e-40,0.650814817897188,0.833,0.235,4.34671421450945e-36,"Stem","Mrps33"
"Gtf2h4",3.07960647369612e-40,0.301981991608112,0.271,0.027,4.77646964070268e-36,"Stem","Gtf2h4"
"Apopt1",3.11469144172606e-40,0.468304528108772,0.479,0.083,4.83088642611711e-36,"Stem","Apopt1"
"Cpsf2",3.46148767176288e-40,0.412667685281533,0.427,0.066,5.36876737890423e-36,"Stem","Cpsf2"
"Ctsb1",3.99941102244264e-40,0.738153228667989,0.885,0.289,6.20308649580853e-36,"Stem","Ctsb"
"Ints11",4.10434913836445e-40,0.377653686601801,0.375,0.051,6.36584551360326e-36,"Stem","Ints11"
"Cox7b3",4.17552812020576e-40,1.00834086628183,1,0.692,6.47624411443913e-36,"Stem","Cox7b"
"Terf1",4.82890729287147e-40,0.384346711670181,0.385,0.054,7.48963521124364e-36,"Stem","Terf1"
"Sumo12",4.9382347781572e-40,0.632430295607985,0.844,0.241,7.65920214092181e-36,"Stem","Sumo1"
"Gstt21",5.24388426827e-40,0.481017243339774,0.542,0.103,8.13326450008678e-36,"Stem","Gstt2"
"Pdia62",5.29902243899031e-40,0.87797790369328,0.906,0.304,8.21878380287397e-36,"Stem","Pdia6"
"Rps263",6.24942128270049e-40,0.983411423474676,1,0.871,9.69285240946846e-36,"Stem","Rps26"
"Noxo1",7.82047307360438e-40,0.384781320884008,0.365,0.049,1.21295537371604e-35,"Stem","Noxo1"
"Dnaja3",8.36406971780528e-40,0.407572068360725,0.427,0.066,1.2972672132316e-35,"Stem","Dnaja3"
"Sf3b61",8.48318823063947e-40,0.678156352086149,0.885,0.276,1.31574249457218e-35,"Stem","Sf3b6"
"Uqcrh3",9.01542313566255e-40,0.942715323503919,1,0.707,1.39829212834126e-35,"Stem","Uqcrh"
"Slc35b2",1.00331127525029e-39,0.440849155182647,0.448,0.073,1.55613578791319e-35,"Stem","Slc35b2"
"Pih1d1",1.05965451544091e-39,0.448202794770254,0.458,0.077,1.64352415344885e-35,"Stem","Pih1d1"
"Taf15",1.06479397896131e-39,0.588859859472819,0.698,0.17,1.65149546136899e-35,"Stem","Taf15"
"Eprs1",1.12492660737013e-39,0.693747334444249,0.792,0.225,1.74476116803108e-35,"Stem","Eprs"
"Pstk",1.12572294138463e-39,0.361391058904407,0.333,0.041,1.74599628208756e-35,"Stem","Pstk"
"Emc41",1.17431638098614e-39,0.470539499673222,0.531,0.1,1.82136470690951e-35,"Stem","Emc4"
"Ltv1",1.32181184720975e-39,0.351145117456788,0.333,0.041,2.05013017502233e-35,"Stem","Ltv1"
"Car41",1.39537542485757e-39,0.448271008511214,0.385,0.054,2.16422728395409e-35,"Stem","Car4"
"Serf1",1.4564474070187e-39,0.40817295798103,0.406,0.061,2.258949928286e-35,"Stem","Serf1"
"Blmh",1.5704406429074e-39,0.502878426500768,0.542,0.106,2.43575343714937e-35,"Stem","Blmh"
"Nedd82",1.8686067540791e-39,0.803364823077589,1,0.403,2.89820907557668e-35,"Stem","Nedd8"
"Abce1",1.96575007705894e-39,0.450197838811154,0.49,0.087,3.04887836951842e-35,"Stem","Abce1"
"Mrpl47",2.40212091705226e-39,0.334655578149731,0.312,0.037,3.72568954234806e-35,"Stem","Mrpl47"
"Uqcrb2",2.58257156103366e-39,0.966110807620825,0.99,0.539,4.0055684911632e-35,"Stem","Uqcrb"
"Ubald21",3.18741203847958e-39,0.654394454042063,0.75,0.202,4.94367607168183e-35,"Stem","Ubald2"
"Prdx14",3.67335849082269e-39,1.07742066281376,1,0.616,5.69737901926599e-35,"Stem","Prdx1"
"Gsto13",3.76389280104159e-39,0.777742046868465,0.906,0.298,5.83779773441551e-35,"Stem","Gsto1"
"Smarca5",4.03888451515909e-39,0.751666218890769,0.792,0.239,6.26430988301174e-35,"Stem","Smarca5"
"Arid5b",4.39927234762728e-39,0.645909848542699,0.594,0.13,6.82327141116991e-35,"Stem","Arid5b"
"Supt16",5.02917998538635e-39,0.718528175362064,0.677,0.173,7.80025815733424e-35,"Stem","Supt16"
"Akt1s1",5.17804926493637e-39,0.470629426369956,0.51,0.095,8.03115440991632e-35,"Stem","Akt1s1"
"Cse1l",5.46804978318605e-39,0.342777757432679,0.323,0.04,8.48094521372156e-35,"Stem","Cse1l"
"Mrps212",6.69617413052878e-39,0.722993829008105,0.802,0.245,1.03857660764501e-34,"Stem","Mrps21"
"Cox5b2",7.26553358061569e-39,1.04568031058649,1,0.664,1.12688425835349e-34,"Stem","Cox5b"
"Hsd17b121",8.0649468561483e-39,0.594462623827831,0.656,0.158,1.2508732573886e-34,"Stem","Hsd17b12"
"Pcbp11",8.56042083910827e-39,0.816696444748142,0.906,0.361,1.32772127214569e-34,"Stem","Pcbp1"
"H2afy",8.77365135712939e-39,0.821822788510843,0.948,0.411,1.36079332549077e-34,"Stem","H2afy"
"Igf1r",9.32207206102406e-39,0.294760678253456,0.25,0.024,1.44585337666483e-34,"Stem","Igf1r"
"Hnrnpk1",9.91669848892461e-39,0.851901361010866,0.969,0.431,1.53807993563221e-34,"Stem","Hnrnpk"
"Nono1",1.03121603886377e-38,0.681381677100586,0.802,0.232,1.59941607627771e-34,"Stem","Nono"
"Fam60a",1.06694898364172e-38,0.456137712221903,0.49,0.088,1.6548378736283e-34,"Stem","Fam60a"
"Nit2",1.21314757905628e-38,0.381771044767101,0.385,0.056,1.88159189511628e-34,"Stem","Nit2"
"Smu1",1.24737294748621e-38,0.448329869140322,0.49,0.088,1.93467544155112e-34,"Stem","Smu1"
"Ghitm2",1.36532063799117e-38,0.58127326576064,0.76,0.198,2.11761230952431e-34,"Stem","Ghitm"
"Ppp1ca1",1.563397223926e-38,0.746908632953075,0.927,0.343,2.42482909430923e-34,"Stem","Ppp1ca"
"Sem12",2.36600687274264e-38,0.876924832446251,0.99,0.499,3.66967665962384e-34,"Stem","Sem1"
"Pgls2",2.39180964572423e-38,0.76830997501064,0.917,0.346,3.70969676051827e-34,"Stem","Pgls"
"Mrpl571",2.88488298256318e-38,0.699939029498001,0.833,0.256,4.47445350595549e-34,"Stem","Mrpl57"
"Txndc171",2.93782489890289e-38,0.732867025952586,0.927,0.324,4.55656641819839e-34,"Stem","Txndc17"
"1700021F05Rik1",2.94405830494047e-38,0.426574832291361,0.438,0.073,4.56623443096267e-34,"Stem","1700021F05Rik"
"Nol71",3.18778161592796e-38,0.712683999790983,0.906,0.305,4.94424928630427e-34,"Stem","Nol7"
"Dag11",3.93446972774958e-38,0.627899215929704,0.594,0.134,6.1023625477396e-34,"Stem","Dag1"
"Trim27",4.65074360170803e-38,0.38305830342122,0.385,0.057,7.21330332624915e-34,"Stem","Trim27"
"Aco21",4.71680870198596e-38,0.676271004502676,0.854,0.267,7.31577029678023e-34,"Stem","Aco2"
"Mpst",4.90591012413662e-38,0.283787017613485,0.25,0.024,7.6090666025359e-34,"Stem","Mpst"
"Rbm8a",5.36739440058242e-38,0.633309811763066,0.792,0.229,8.32482871530333e-34,"Stem","Rbm8a"
"Zdhhc6",5.64356484331141e-38,0.391613108921515,0.396,0.06,8.75316907197599e-34,"Stem","Zdhhc6"
"Cnih11",6.08418915920712e-38,0.483289233203666,0.542,0.108,9.43657738593024e-34,"Stem","Cnih1"
"Thap12",6.26180205103425e-38,0.374784887284892,0.354,0.049,9.71205498115412e-34,"Stem","Thap12"
"Nubp2",6.38156975121517e-38,0.347375469171108,0.312,0.038,9.89781468413472e-34,"Stem","Nubp2"
"Eif3b",6.92646144401289e-38,0.57572757496304,0.708,0.182,1.0742941699664e-33,"Stem","Eif3b"
"Engase",8.19245607682026e-38,0.274047834645828,0.24,0.023,1.27064993751482e-33,"Stem","Engase"
"Spcs11",8.6244674977816e-38,0.594060517965603,0.792,0.216,1.33765490890593e-33,"Stem","Spcs1"
"Fahd11",1.08422262972062e-37,0.424932139826678,0.521,0.098,1.68162929869668e-33,"Stem","Fahd1"
"Cth2",1.09515719586179e-37,0.430339999289937,0.51,0.093,1.69858881078164e-33,"Stem","Cth"
"Acot11",1.23547667822262e-37,0.414292366175033,0.323,0.041,1.91622432792329e-33,"Stem","Acot1"
"Sdc41",1.27888667340158e-37,0.842871339718619,0.927,0.326,1.98355323044584e-33,"Stem","Sdc4"
"Znhit6",1.29516904961902e-37,0.348856422294366,0.333,0.044,2.0088071959591e-33,"Stem","Znhit6"
"Cdk2ap1",1.34159921499186e-37,0.462639985506397,0.49,0.091,2.08082038245237e-33,"Stem","Cdk2ap1"
"Lman11",1.43463334223567e-37,0.632566747880163,0.635,0.154,2.22511631380752e-33,"Stem","Lman1"
"Mpc11",1.55041575621601e-37,0.697597202561237,0.792,0.238,2.40469483789103e-33,"Stem","Mpc1"
"Cotl11",1.66221356596023e-37,0.604003513509703,0.76,0.207,2.57809324080431e-33,"Stem","Cotl1"
"Dynll21",1.7783831867172e-37,0.740565331977598,0.823,0.277,2.75827232259838e-33,"Stem","Dynll2"
"Arl6ip12",2.18713114888227e-37,1.06528437276934,0.896,0.353,3.39224041191639e-33,"Stem","Arl6ip1"
"Nfu11",2.38202309949157e-37,0.470010509569005,0.5,0.095,3.69451782731142e-33,"Stem","Nfu1"
"Rnps1",3.27315216445302e-37,0.50649109069764,0.562,0.119,5.07665900706664e-33,"Stem","Rnps1"
"Gsdmc41",4.57264195420294e-37,0.662182258082811,0.323,0.042,7.09216767096875e-33,"Stem","Gsdmc4"
"Ctcf",4.95893764486734e-37,0.596607750228679,0.719,0.192,7.69131228718924e-33,"Stem","Ctcf"
"Csnk2b1",4.96052349059238e-37,0.594215725973846,0.76,0.21,7.69377193390878e-33,"Stem","Csnk2b"
"Psmb61",5.90314214919097e-37,0.820466298716657,0.948,0.415,9.15577347339519e-33,"Stem","Psmb6"
"Psmd111",6.13155331029813e-37,0.610622772441464,0.688,0.179,9.51003918427241e-33,"Stem","Psmd11"
"Nfe2l21",6.13541731400398e-37,0.553008809051343,0.698,0.175,9.51603225402017e-33,"Stem","Nfe2l2"
"Mrps61",1.06410216808206e-36,0.486851997563699,0.531,0.106,1.65042246269527e-32,"Stem","Mrps6"
"Ndufs41",1.15414983518514e-36,0.715374668205799,0.885,0.305,1.79008639437215e-32,"Stem","Ndufs4"
"Sucla21",1.34866754913587e-36,0.462165941637912,0.573,0.121,2.09178336870974e-32,"Stem","Sucla2"
"Tm2d3",1.44099116688276e-36,0.42055501335039,0.438,0.075,2.23497729983516e-32,"Stem","Tm2d3"
"Thumpd3",1.60651194482235e-36,0.388402123752491,0.396,0.062,2.49170002641946e-32,"Stem","Thumpd3"
"Ddx56",2.58686981427429e-36,0.332356985359805,0.312,0.04,4.01223508193942e-32,"Stem","Ddx56"
"Nop53",3.02746296856514e-36,0.545890215665932,0.667,0.167,4.69559506424453e-32,"Stem","Nop53"
"Mrpl44",3.16620155702885e-36,0.353239296675565,0.344,0.048,4.91077861495175e-32,"Stem","Mrpl44"
"Znrd1",3.24842161654807e-36,0.444512198801558,0.469,0.087,5.03830192726605e-32,"Stem","Znrd1"
"Bckdk",3.33482362284617e-36,0.403694521885359,0.406,0.066,5.17231143903442e-32,"Stem","Bckdk"
"Ppig",3.34552240593698e-36,0.719048449142423,0.802,0.264,5.18890525160826e-32,"Stem","Ppig"
"E2f4",3.49746607252265e-36,0.424756137413188,0.396,0.063,5.42456987848263e-32,"Stem","E2f4"
"Ndufb82",3.68106897219995e-36,0.896560831900141,0.979,0.498,5.70933797588212e-32,"Stem","Ndufb8"
"Med30",4.56811822215218e-36,0.379521102173124,0.385,0.06,7.08515136255804e-32,"Stem","Med30"
"Comtd11",4.61151071070966e-36,0.465322900201339,0.521,0.105,7.15245311231068e-32,"Stem","Comtd1"
"Nob1",4.93708327948617e-36,0.322174379641861,0.302,0.037,7.65741616648305e-32,"Stem","Nob1"
"Sec131",5.0448240477153e-36,0.51988054388194,0.552,0.118,7.82452209800643e-32,"Stem","Sec13"
"Fermt11",5.30059540583271e-36,0.586468231248253,0.708,0.184,8.22122347444653e-32,"Stem","Fermt1"
"Pfdn2",6.43259946459774e-36,0.577955166181574,0.708,0.19,9.97696176959109e-32,"Stem","Pfdn2"
"Wdr4",7.01277529995428e-36,0.279463086876692,0.25,0.026,1.08768144902291e-31,"Stem","Wdr4"
"Akap7",7.67299333021018e-36,0.332028913717484,0.302,0.038,1.1900812655156e-31,"Stem","Akap7"
"Mrpl142",8.20628660497025e-36,0.619896290830543,0.844,0.256,1.27279505243089e-31,"Stem","Mrpl14"
"Zfp7061",8.6833379136522e-36,0.651457912508063,0.927,0.318,1.34678571040746e-31,"Stem","Zfp706"
"Cops7a",9.09801673950395e-36,0.452176456304907,0.521,0.105,1.41110239629706e-31,"Stem","Cops7a"
"Tmed5",1.06067120856171e-35,0.393651218728387,0.427,0.073,1.64510104447921e-31,"Stem","Tmed5"
"Hnrnpc1",1.27111809518923e-35,0.618489004807453,0.875,0.28,1.97150416563849e-31,"Stem","Hnrnpc"
"Atp5j3",1.301393813498e-35,0.891074177631703,0.99,0.704,2.0184618047354e-31,"Stem","Atp5j"
"Txn13",1.30223676207861e-35,1.01173033277877,1,0.833,2.01976921798393e-31,"Stem","Txn1"
"Rnaset2a2",1.31566079246935e-35,0.618144783756079,0.802,0.238,2.04058988911996e-31,"Stem","Rnaset2a"
"Rnf71",1.37328548665579e-35,0.561120564858593,0.646,0.162,2.12996578980312e-31,"Stem","Rnf7"
"Lcmt11",2.46693159190819e-35,0.380163584945216,0.375,0.058,3.82621089904961e-31,"Stem","Lcmt1"
"Psmb102",2.59394196396604e-35,0.715000071553969,0.917,0.327,4.02320398611132e-31,"Stem","Psmb10"
"Cdx22",3.24981833717585e-35,0.599399883944963,0.76,0.216,5.04046824095974e-31,"Stem","Cdx2"
"Tbrg4",3.35910792284717e-35,0.374103031392008,0.365,0.055,5.20997638833596e-31,"Stem","Tbrg4"
"Rac11",3.39908812113358e-35,0.595414902935412,0.792,0.236,5.27198567587818e-31,"Stem","Rac1"
"Psmc51",3.54499941416908e-35,0.582270787182078,0.74,0.209,5.49829409137624e-31,"Stem","Psmc5"
"Slc1a11",3.80273446806695e-35,0.274047834645828,0.229,0.022,5.89804115997185e-31,"Stem","Slc1a1"
"Gtf3c6",5.18546858295503e-35,0.457685534345738,0.521,0.107,8.04266177216326e-31,"Stem","Gtf3c6"
"Myg1",5.30794835354525e-35,0.371204435625562,0.375,0.058,8.23262789634868e-31,"Stem","Myg1"
"Rnf126",7.07326902033348e-35,0.429708460587981,0.469,0.089,1.09706402505372e-30,"Stem","Rnf126"
"Dgcr2",8.17179143573275e-35,0.398911574502359,0.406,0.068,1.26744485168215e-30,"Stem","Dgcr2"
"Atp5g32",8.55270427190936e-35,0.899467418224745,0.99,0.638,1.32652443257314e-30,"Stem","Atp5g3"
"Nars1",1.08249389790686e-34,0.582162503782561,0.677,0.179,1.67894803565354e-30,"Stem","Nars"
"Vps291",1.12619817561926e-34,0.535768777757251,0.688,0.18,1.74673337038547e-30,"Stem","Vps29"
"Tst",1.43999425671848e-34,0.256953789232879,0.208,0.019,2.23343109217036e-30,"Stem","Tst"
"Dnajc21",1.70315412217926e-34,0.500753230354343,0.521,0.11,2.64159204350003e-30,"Stem","Dnajc21"
"Csnk2a2",1.73962371793613e-34,0.446306832914108,0.51,0.105,2.69815638651894e-30,"Stem","Csnk2a2"
"Mrpl481",1.74110380357785e-34,0.440144174147231,0.469,0.09,2.70045199934924e-30,"Stem","Mrpl48"
"Tagln22",1.74755547595277e-34,0.728286677508475,0.927,0.324,2.71045854320274e-30,"Stem","Tagln2"
"Trappc5",2.28042992055313e-34,0.472688928049919,0.552,0.122,3.5369468067779e-30,"Stem","Trappc5"
"Commd2",2.47384276311081e-34,0.388402123752491,0.385,0.063,3.83693012558487e-30,"Stem","Commd2"
"Mgat4b1",2.87807273751756e-34,0.519669327164575,0.583,0.136,4.46389081588974e-30,"Stem","Mgat4b"
"Dnaja21",3.3920745205156e-34,0.600206835606287,0.76,0.225,5.2611075813197e-30,"Stem","Dnaja2"
"Dgat11",3.86796484990242e-34,0.432641932364383,0.573,0.126,5.99921348219866e-30,"Stem","Dgat1"
"Tpt13",3.90829963194019e-34,0.848919250913616,1,0.977,6.06177272913924e-30,"Stem","Tpt1"
"Ndufs11",4.55567302830694e-34,0.496339380817498,0.583,0.136,7.06584886690406e-30,"Stem","Ndufs1"
"Pdcl31",5.35285858088027e-34,0.444688919375515,0.49,0.098,8.3022836589453e-30,"Stem","Pdcl3"
"Dnajc11",5.51820487678531e-34,0.361520863665019,0.365,0.057,8.55873576389402e-30,"Stem","Dnajc11"
"Wdr61",5.52865164150128e-34,0.489076469038965,0.51,0.108,8.57493869596848e-30,"Stem","Wdr61"
"Cd814",6.05623686425644e-34,0.78045807401339,0.979,0.38,9.39322337646173e-30,"Stem","Cd81"
"Hsp90ab13",6.15688711897249e-34,0.79356688435371,1,0.974,9.54933192152633e-30,"Stem","Hsp90ab1"
"Hscb",6.43396999992241e-34,0.304828082804722,0.281,0.035,9.97908746987966e-30,"Stem","Hscb"
"Ecsit1",9.25157873176846e-34,0.388760644034193,0.417,0.073,1.43491986129729e-29,"Stem","Ecsit"
"Mrps18c1",1.15916968073012e-33,0.590154501037533,0.677,0.184,1.79787217481242e-29,"Stem","Mrps18c"
"Srsf10",1.25313183259236e-33,0.607975778124777,0.781,0.239,1.94360747235075e-29,"Stem","Srsf10"
"Pak1ip11",1.25668558835254e-33,0.509807070273637,0.635,0.159,1.94911934753478e-29,"Stem","Pak1ip1"
"Krcc11",1.48104171955344e-33,0.586338806060618,0.729,0.21,2.29709570702738e-29,"Stem","Krcc1"
"Hspa4",1.59388621668568e-33,0.61821042457943,0.75,0.226,2.47211752207949e-29,"Stem","Hspa4"
"Rnf187",1.61581278594669e-33,0.512875991664239,0.594,0.143,2.50612563100332e-29,"Stem","Rnf187"
"Ube2e1",1.71834827160061e-33,0.459472391354809,0.552,0.122,2.66515816925255e-29,"Stem","Ube2e1"
"Cebpz",1.89380407637558e-33,0.498800806452516,0.604,0.146,2.93729012245852e-29,"Stem","Cebpz"
"Hars",2.0749444260827e-33,0.36119886945748,0.365,0.058,3.21823880485427e-29,"Stem","Hars"
"Pdap11",2.51962638963284e-33,0.639572441053082,0.917,0.33,3.90794053032053e-29,"Stem","Pdap1"
"G3bp2",2.71308773503386e-33,0.576192492783638,0.781,0.235,4.20799907703751e-29,"Stem","G3bp2"
"Rpn22",3.11570858095129e-33,0.639953460301811,0.854,0.286,4.83246400905545e-29,"Stem","Rpn2"
"Ncapd3",3.11787674774482e-33,0.409867417869903,0.448,0.084,4.83582683575222e-29,"Stem","Ncapd3"
"Nipsnap1",3.56291533504131e-33,0.435013066044081,0.521,0.111,5.52608168464906e-29,"Stem","Nipsnap1"
"Nr2f61",3.6101661225486e-33,0.526066809524799,0.625,0.157,5.59936765607287e-29,"Stem","Nr2f6"
