"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Rps61",3.87444321023792e-07,0.609688099563318,0.736,0.716,0.00600926141907901,"Pan","Rps6"
"Snrpd1",3.91329117975836e-07,0.280614889599466,0.337,0.184,0.00606951461980522,"Pan","Snrpd1"
"Rpl36a",4.14344552648555e-07,0.574734868610333,0.552,0.439,0.00642648401157908,"Pan","Rpl36a"
"Rpl391",8.54077013123682e-07,0.590338292135338,0.773,0.761,0.0132467344735483,"Pan","Rpl39"
"Rpl51",9.24709322919269e-07,0.544317200392933,0.718,0.688,0.0143422415984779,"Pan","Rpl5"
"Rps71",1.21116941746407e-06,0.620577848997847,0.773,0.809,0.0187852376648678,"Pan","Rps7"
"Rps4x1",1.24285002031511e-06,0.71390694387291,0.816,0.799,0.0192766038150873,"Pan","Rps4x"
"Rps231",1.64249753346884e-06,0.640355579269665,0.81,0.862,0.0254751367441017,"Pan","Rps23"
"Ran",2.28746103941096e-06,0.39098810447153,0.485,0.335,0.035478520721264,"Pan","Ran"
"Rpl31",2.44216781256025e-06,0.705224547437832,0.767,0.766,0.0378780227728095,"Pan","Rpl3"
"Rpl27a1",3.85809151202102e-06,0.560019441138393,0.84,0.914,0.059838999351446,"Pan","Rpl27a"
"Rpl321",4.28336492994318e-06,0.730544264550873,0.89,0.927,0.0664349900634188,"Pan","Rpl32"
"Wdr89",8.29314595088695e-06,0.301592580942997,0.454,0.308,0.128626693698257,"Pan","Wdr89"
"Rpsa1",9.1027874619364e-06,0.549922677113033,0.871,0.932,0.141184233534634,"Pan","Rpsa"
"Hspd1",9.17377802829743e-06,0.277336457630644,0.436,0.298,0.142285297218893,"Pan","Hspd1"
"Rpl141",1.76578303071593e-05,0.531061692997387,0.767,0.777,0.27387294806404,"Pan","Rpl14"
"Rpl71",2.36359821742305e-05,0.635912089747025,0.73,0.779,0.366594083522315,"Pan","Rpl7"
"Tubb5",2.90869673165969e-05,0.351627421805219,0.356,0.226,0.451138863080418,"Pan","Tubb5"
"Eef1d",7.00403511245915e-05,0.287815642155367,0.454,0.321,1,"Pan","Eef1d"
"Rps241",7.72140341017925e-05,0.575751989003939,0.84,0.874,1,"Pan","Rps24"
"Hmgb2",8.4140427267876e-05,0.276553073965827,0.436,0.298,1,"Pan","Hmgb2"
"Rps31",0.000190877495745001,0.645233096863268,0.779,0.865,1,"Pan","Rps3"
"Hnrnpa1",0.00019845876572401,0.302546441809108,0.362,0.249,1,"Pan","Hnrnpa1"
"Eef1g",0.00022240232133222,0.404630043003338,0.509,0.428,1,"Pan","Eef1g"
"Rps51",0.000275318607807259,0.595976192442127,0.791,0.859,1,"Pan","Rps5"
"Tmsb4x2",0.000317273340980377,0.482561867547882,0.736,0.677,1,"Pan","Tmsb4x"
"Rps201",0.000364406170991202,0.604120907523386,0.834,0.935,1,"Pan","Rps20"
"Rps191",0.000488097550096324,0.534550872520378,0.816,0.864,1,"Pan","Rps19"
"Rps15a1",0.000744262196799073,0.616427322991691,0.767,0.799,1,"Pan","Rps15a"
"Rpl18a1",0.000811613647245735,0.541817801655657,0.785,0.858,1,"Pan","Rpl18a"
"Snrpg",0.000855872241359471,0.255874485824583,0.38,0.274,1,"Pan","Snrpg"
"Rps101",0.00102988206854383,0.600027688673157,0.804,0.881,1,"Pan","Rps10"
"Eif5a",0.0010781502351397,0.257315028204532,0.534,0.435,1,"Pan","Eif5a"
"Rpl91",0.0014081120885647,0.494250126509725,0.773,0.853,1,"Pan","Rpl9"
"Rpl10a1",0.00147280147339102,0.533907465262716,0.779,0.82,1,"Pan","Rpl10a"
"Rpl22l1",0.00209807693243101,0.401435252968894,0.552,0.527,1,"Pan","Rpl22l1"
"Rps27a1",0.00226178036813446,0.448424147567113,0.822,0.882,1,"Pan","Rps27a"
"Rps161",0.00302560021099175,0.388668790825839,0.834,0.884,1,"Pan","Rps16"
"Rps111",0.00347006345967579,0.471626227361193,0.773,0.85,1,"Pan","Rps11"
"Pabpc1",0.00428869243000842,0.277146495619482,0.583,0.534,1,"Pan","Pabpc1"
"Rpl281",0.00462128937141063,0.492047946531502,0.81,0.894,1,"Pan","Rpl28"
"Rps3a11",0.00644463713592077,0.478224835674671,0.779,0.867,1,"Pan","Rps3a1"
"Rps181",0.00691899859196209,0.544772174515916,0.767,0.845,1,"Pan","Rps18"
"Rpl42",0.00734670540324363,0.432670322882534,0.632,0.66,1,"Pan","Rpl4"
"Rpl221",0.00817536088140528,0.45614752817419,0.65,0.694,1,"Pan","Rpl22"
"Ces1f",0,1.58103357004138,0.609,0.013,0,"Ent","Ces1f"
"Slc51a",0,1.15167796079572,0.594,0.013,0,"Ent","Slc51a"
"Hkdc1",0,0.810440310228204,0.539,0.009,0,"Ent","Hkdc1"
