,names,scores,logfoldchanges,pvals,pvals_adj
12385,Dnajb1,-3.635431,-0.9614015,0.00040899664122585536,0.0009480519671272403
12386,Clasp2,-3.6366377,-1.6990272,0.0003967094412711623,0.0009209844031261569
12387,Slc37a1,-3.6377902,-1.035283,0.0004066437552067617,0.0009429865836353035
12388,Irs4,-3.6390247,-22.147978,0.00027762835680946325,0.0006615332563060847
12389,Sh3gl2,-3.6411057,-1.5571895,0.00039280221085316136,0.0009130216677888564
12390,Tdh,-3.6413603,-22.218533,0.000275131011254051,0.0006558604061183939
12391,Gm45051,-3.6419592,-2.3131504,0.0003774245399409577,0.0008784881533108498
12392,Arhgef6,-3.6444154,-21.505308,0.00027189570812969754,0.0006483312243448701
12393,Zfp26,-3.644909,-1.7018659,0.00038504773194513456,0.0008956141249585315
12394,Slc39a8,-3.6456065,-1.3719139,0.00039288687025166625,0.000913092678074214
12395,Smarcal1,-3.646051,-1.701779,0.0003837090617979662,0.0008926234378054424
12396,9530059O14Rik,-3.6513913,-21.67976,0.00026464212539884283,0.0006321069874176182
12397,Slc2a12,-3.6517105,-21.728865,0.00026431470204873455,0.0006315036948991074
12398,Parp12,-3.6537251,-1.3034226,0.0003789308698315656,0.0008818726283833497
12399,Hist2h3c2,-3.664698,-2.3224244,0.00034730331371568486,0.0008137660953835298
12400,Gm9725,-3.665847,-21.576252,0.0002501846505156695,0.0005993766437353756
12401,Arhgef3,-3.671416,-2.3239946,0.0003392759414978753,0.0007957305785652045
12402,Ptcd1,-3.6732414,-2.3255632,0.0003367039845718788,0.0007901376358851976
12403,Snap29,-3.6732903,-1.3757312,0.00035330145856152625,0.0008275905209919149
12404,Plxnb1,-3.6736546,-1.4800014,0.00035465752798549395,0.0008304212272450687
12405,Itfg1,-3.674843,-0.8941926,0.00035592239519135447,0.0008331516741370657
12406,Ric8b,-3.675922,-1.7111697,0.0003447409883820513,0.0008082111946300522
12407,Osbpl11,-3.6812081,-2.327823,0.0003273336761706311,0.0007695396747533297
12408,Gm2885,-3.683228,-21.521584,0.00023378302711202646,0.0005618983880523354
12409,Inhbc,-3.683228,-21.521584,0.00023378302711202646,0.0005618983880523354
12410,Ackr1,-3.683228,-21.521584,0.00023378302711202646,0.0005618983880523354
12411,Gm26882,-3.683228,-21.521584,0.00023378302711202646,0.0005618983880523354
12412,D930016D06Rik,-3.6847043,-1.4623638,0.00033819769337860897,0.0007935325466857657
12413,Fam174b,-3.6851816,-1.213421,0.00034567556010504924,0.0008102896342231846
12414,Dcaf6,-3.6861763,-1.9281378,0.00032936828715918025,0.0007739994215027388
12415,Stambp,-3.6872714,-1.5699956,0.00033344733634824104,0.0007828218977290718
12416,Elovl5,-3.6888354,-1.253486,0.0003358435303222555,0.0007883376789801171
12417,Gpr137b,-3.69156,-2.334071,0.0003143694871581167,0.0007401960507594837
12418,Slc12a8,-3.6934443,-1.2244107,0.00032953114302903484,0.0007742743022298752
12419,Slc25a44,-3.6954052,-1.254752,0.00032827826006662084,0.0007716528261072889
12420,Myo7a,-3.6958985,-2.3332016,0.0003102768514886107,0.0007309677326358098
12421,Tgfbrap1,-3.6966126,-1.7163423,0.00032055045528949546,0.0007540129541413767
12422,Fer,-3.7014585,-1.9348608,0.00031098406621664517,0.0007325315630103137
12423,H2-T22,-3.7028713,-1.2068429,0.0003202211286834281,0.0007533433077558691
12424,Zfp938,-3.7041268,-1.7183344,0.00031211969541830034,0.0007350013759675996
12425,Hlcs,-3.706742,-1.9353215,0.0003055878155230508,0.0007251855416891411
12426,4930405L22Rik,-3.709888,-21.464767,0.00021057437177466164,0.000508870474537794
12427,Ttc16,-3.709888,-21.464767,0.00021057437177466164,0.000508870474537794
12428,Gm38079,-3.709888,-21.464767,0.00021057437177466164,0.000508870474537794
12429,Xntrpc,-3.709888,-21.464767,0.00021057437177466164,0.000508870474537794
12430,3300002I08Rik,-3.709888,-21.464767,0.00021057437177466164,0.000508870474537794
12431,Odf4,-3.709888,-21.464767,0.00021057437177466164,0.000508870474537794
12432,Pdzrn4,-3.709888,-21.464767,0.00021057437177466102,0.000508870474537794
12433,1300014J16Rik,-3.709888,-21.464767,0.00021057437177466102,0.000508870474537794
12434,Gm32036,-3.709888,-21.464767,0.00021057437177466102,0.000508870474537794
12435,C1ra,-3.709888,-21.464767,0.0002105743717746601,0.000508870474537794
12436,Gm14419,-3.709888,-21.464767,0.0002105743717746601,0.000508870474537794
12437,Gm10785,-3.709888,-21.464767,0.0002105743717746601,0.000508870474537794
12438,5033417F24Rik,-3.709888,-21.464767,0.0002105743717746601,0.000508870474537794
12439,Gm16867,-3.709888,-21.464767,0.0002105743717746601,0.000508870474537794
12440,Hapln4,-3.709888,-21.464767,0.0002105743717746601,0.000508870474537794
12441,Dennd2a,-3.709888,-21.464767,0.0002105743717746601,0.000508870474537794
12442,Lancl2,-3.7101038,-2.3354497,0.00029556311067675047,0.0007026806836672534
12443,Numa1,-3.712106,-1.0174172,0.00031181666745666386,0.0007343902670385488
12444,Zfp976,-3.7136872,-2.3385613,0.00029111525411238065,0.0006923988602038652
12445,Gprin3,-3.71472,-1.2900066,0.00030932069992715765,0.0007290205043674282
12446,Herc2,-3.7171912,-1.1068442,0.0003055011545556564,0.000725081854166906
12447,Defa20,-3.71887,-22.014801,0.00020325566070916954,0.0004930907525111035
12448,Ireb2,-3.7195618,-0.883114,0.00030452815602473847,0.00072307761825207
12449,Sgsm3,-3.719827,-1.2116594,0.0003009940938928571,0.0007150887420022474
12450,Slc39a3,-3.7199636,-1.5783224,0.00029696348192885015,0.0007058110926125839
12451,Dip2a,-3.7202966,-2.3439014,0.00028320648088815605,0.0006742535785817767
12452,C1qtnf12,-3.722819,-1.7239357,0.00029177590347150397,0.0006938723747296546
12453,Slc38a7,-3.7234466,-2.3423522,0.0002808091425505227,0.0006687347277081669
12454,Atoh1,-3.7239215,-2.374851,0.0002706785163992581,0.0006456113023657216
12455,Mfn2,-3.7338333,-1.3231009,0.00028507101801001744,0.0006785011888461275
12456,Borcs5,-3.7364902,-1.5829971,0.0002797864950440692,0.0006664874511389988
12457,4632411P08Rik,-3.7380998,-2.347679,0.00026608535010582643,0.00063546423479137
12458,Akap11,-3.7436554,-1.2670301,0.00027599320001680817,0.0006577812231912944
12459,Lysmd1,-3.7447722,-2.3507648,0.000259424758529064,0.000620435487553565
12460,Slamf1,-3.7486315,-21.405628,0.00018067687121647193,0.00044040476697645005
12461,1700041G16Rik,-3.7486315,-21.405628,0.00018067687121647193,0.00044040476697645005
12462,Gm32618,-3.7486315,-21.405628,0.00018067687121647193,0.00044040476697645005
12463,1700055D18Rik,-3.7486315,-21.405628,0.00018067687121647193,0.00044040476697645005
12464,Gm26794,-3.7486315,-21.405628,0.00018067687121647193,0.00044040476697645005
12465,4930413F20Rik,-3.7486315,-21.405628,0.00018067687121647193,0.00044040476697645005
12466,Gm26566,-3.7486315,-21.405628,0.00018067687121647193,0.00044040476697645005
12467,A830082K12Rik,-3.7486315,-21.405628,0.00018067687121647193,0.00044040476697645005
12468,Extl1,-3.7486315,-21.405628,0.00018067687121647193,0.00044040476697645005
12469,Fsd1,-3.7486315,-21.405628,0.00018067687121647193,0.00044040476697645005
12470,Dhtkd1,-3.7486315,-21.405628,0.00018067687121647193,0.00044040476697645005
12471,Gm26600,-3.7486315,-21.405628,0.00018067687121647193,0.00044040476697645005
12472,L3mbtl1,-3.7486315,-21.405628,0.00018067687121647193,0.00044040476697645005
12473,2210411M09Rik,-3.7486315,-21.405628,0.00018067687121647193,0.00044040476697645005
12474,Slc2a4,-3.7486315,-21.405628,0.00018067687121647193,0.00044040476697645005
12475,H3f3aos,-3.7486315,-21.405628,0.00018067687121647193,0.00044040476697645005
12476,Gm10282,-3.7486315,-21.405628,0.00018067687121647193,0.00044040476697645005
12477,U2af1l4,-3.7486315,-21.405628,0.00018067687121647193,0.00044040476697645005
12478,Myo18b,-3.7486315,-21.405628,0.00018067687121647193,0.00044040476697645005
12479,Foxc1,-3.7486315,-21.405628,0.00018067687121647193,0.00044040476697645005
12480,Ifitm1,-3.7486315,-21.405628,0.00018067687121647193,0.00044040476697645005
12481,Gm40922,-3.7486315,-21.405628,0.00018067687121647193,0.00044040476697645005
12482,Gm16754,-3.7486315,-21.405628,0.00018067687121647193,0.00044040476697645005
12483,Tbx6,-3.7486315,-21.405628,0.00018067687121647193,0.00044040476697645005
12484,Gm38655,-3.7486315,-21.405628,0.00018067687121647193,0.00044040476697645005
12485,Il4i1,-3.7486315,-21.405628,0.00018067687121647193,0.00044040476697645005
12486,Plpp7,-3.7486315,-21.405628,0.00018067687121647193,0.00044040476697645005
12487,Pga5,-3.7486315,-21.405628,0.00018067687121647193,0.00044040476697645005
12488,Gm5149,-3.7486315,-21.405628,0.00018067687121647193,0.00044040476697645005
12489,Zfp354c,-3.7486315,-21.405628,0.00018067687121647193,0.00044040476697645005
12490,Ms4a5,-3.7486315,-21.405628,0.00018067687121647193,0.00044040476697645005
12491,Adgrl3,-3.7486315,-21.405628,0.00018067687121647193,0.00044040476697645005
12492,Spag6,-3.7486315,-21.405628,0.00018067687121647193,0.00044040476697645005
12493,Lrrd1,-3.7486315,-21.405628,0.00018067687121647193,0.00044040476697645005
12494,Pate2,-3.7486315,-21.405628,0.00018067687121647193,0.00044040476697645005
12495,Rasl2-9,-3.7486315,-21.405628,0.00018067687121647193,0.00044040476697645005
12496,Eno1b,-3.7486315,-21.405628,0.00018067687121647193,0.00044040476697645005
12497,Rbm3os,-3.7486315,-21.405628,0.00018067687121647193,0.00044040476697645005
12498,Sod3,-3.7486315,-21.405628,0.00018067687121647193,0.00044040476697645005
12499,Ccdc89,-3.7486315,-21.405628,0.00018067687121647193,0.00044040476697645005
12500,Gm9999,-3.7486315,-21.405628,0.00018067687121647193,0.00044040476697645005
12501,Sncaip,-3.7486315,-21.405628,0.00018067687121647193,0.00044040476697645005
12502,Abcb4,-3.7486315,-21.405628,0.00018067687121647193,0.00044040476697645005
12503,Smyd1,-3.7486315,-21.405628,0.00018067687121647193,0.00044040476697645005
12504,Iqck,-3.7486315,-21.405628,0.00018067687121647193,0.00044040476697645005
12505,Zfp462,-3.7493823,-1.1747166,0.0002712451276851171,0.0006468713298030456
12506,Lrrc24,-3.752365,-2.3499053,0.00025332431698385044,0.0006062754005250994
12507,Psen2,-3.7525058,-1.3265873,0.0002671052700326514,0.0006376292872826415
12508,Zfp799,-3.754123,-2.3514466,0.00025141841415845216,0.0006021410358960942
12509,Kbtbd7,-3.7571661,-1.9694269,0.0002606102727141156,0.0006230941275220601
12510,2010106E10Rik,-3.7596238,-22.36072,0.0001729510914093032,0.0004254445579492699
12511,Defa36,-3.7597134,-1.8267149,0.0002365645903363749,0.0005682601369290145
12512,Letm2,-3.7607052,-2.355205,0.00024498023796227657,0.0005875556446295363
12513,Bicd2,-3.7614574,-1.9494685,0.00025158879758861697,0.0006023781156793291
12514,Card19,-3.7616084,-0.9936739,0.00026215177240822616,0.0006266021472222119
12515,Pard6a,-3.7638571,-2.355205,0.00024246560177817875,0.0005816072537323052
12516,Pik3cb,-3.7687635,-2.3567412,0.00023816816466700762,0.0005718679252640515
12517,Mob3c,-3.770526,-1.2235237,0.00025094021236661584,0.0006010810622692182
12518,Reps2,-3.772969,-1.7614331,0.00024738654739241795,0.0005929897709157746
12519,Snhg18,-3.7736676,-1.3630233,0.0002501931305761177,0.0005993766437353756
12520,2610524H06Rik,-3.7776105,-1.4875661,0.00024201378950857076,0.0005806060133575678
12521,Ago3,-3.779151,-1.5949205,0.0002397182133988662,0.0005753441688388376
12522,Ehhadh,-3.7820456,-1.9581496,0.00023263171103524342,0.0005594499249992493
12523,Cep44,-3.784092,-1.9586031,0.00023095253131945735,0.0005559663289608906
12524,Ezh1,-3.7846155,-1.5972413,0.00023469872954516262,0.0005638814341812469
12525,Naip6,-3.790248,-1.5996228,0.0002296316705024181,0.000553078613280217
12526,Nr2c2,-3.7922614,-1.2279799,0.0002322627061455094,0.0005586421274523191
12527,Lcor,-3.7931376,-1.278543,0.00023103964594899955,0.0005560967087989399
12528,Insig1,-3.7931547,-1.093602,0.00023168803899409769,0.0005574983114252672
12529,Cubn,-3.795545,-21.794392,0.00014981622915879919,0.0003705876380906972
12530,Mavs,-3.7968836,-1.9637196,0.00022001445024990267,0.000530695232699701
12531,Nlrc3,-3.7979734,-21.665178,0.00014836245793236206,0.00036715302501959376
12532,Entpd8,-3.7981942,-1.2753645,0.00022965462774841367,0.000553078613280217
12533,Gm46123,-3.7989588,-2.3789408,0.0002100403463775179,0.0005087456358720561
12534,Hipk3,-3.7994437,-1.3384415,0.00022531571661542842,0.0005429795975452968
12535,Atf6,-3.799636,-1.1518273,0.00022450031646682148,0.0005412061200539447
12536,Hmx2,-3.799791,-1.995085,0.00021928015376470198,0.0005289996561514433
12537,Hpgd,-3.8003707,-1.4325743,0.0002234974626948781,0.0005389425097136422
12538,Egfl7,-3.802253,-1.9641715,0.00021607969776637679,0.0005215024170205389
12539,Scin,-3.8067636,-1.7890419,0.00021298701125123943,0.0005142589519050888
12540,Tbc1d32,-3.809163,-2.369471,0.00020539162476785515,0.000497986159189304
12541,Enox2,-3.8098214,-1.7480007,0.00021307892405975835,0.0005144072737494166
12542,Lrp1,-3.810135,-1.9675757,0.00020961818055781136,0.0005078688868504044
12543,Fuz,-3.8114111,-1.966664,0.00020901930726027003,0.0005064906390030236
12544,Manea,-3.8143008,-2.3740306,0.00020081569570616365,0.00048731159980464647
12545,Skap1,-3.8161037,-21.613825,0.00013792090341330543,0.0003425692147629569
