,names,scores,logfoldchanges,pvals,pvals_adj
275,Nudcd2,28.296913,1.266099,2.2296377319422285e-142,9.483287808699822e-141
276,Bspry,28.175882,2.0419164,2.488277106728736e-129,9.315101838185531e-128
277,Tsfm,28.114023,1.403995,9.990220473226971e-138,4.09531232476017e-136
278,Cbx1,28.077023,1.1572018,2.29246557592782e-142,9.727677697947581e-141
279,Topbp1,28.045069,2.0727656,2.318895302592832e-128,8.505276110866301e-127
280,Uhrf1,27.91749,2.50265,7.606025346878975e-124,2.6604936922799255e-122
281,Wdr89,27.887781,1.0590018,2.1836910120807117e-142,9.309717046562452e-141
282,Mlec,27.867361,1.229925,1.2418299424811523e-139,5.184496941893087e-138
283,Ezh2,27.8469,1.70763,3.441486026792677e-131,1.3211077398189938e-129
284,Psmd7,27.81951,1.0772156,3.9423946174896693e-141,1.6535242609790583e-139
285,Dhrs4,27.811642,1.2316388,5.601913052034311e-138,2.3173758582148328e-136
286,Eif3i,27.734102,0.92684346,1.0591957272613946e-142,4.526313061851229e-141
287,Ssbp1,27.64681,1.1653764,6.398461105314308e-138,2.640859151872208e-136
288,Impa2,27.595827,2.432404,2.6362739080475964e-121,8.995602060247533e-120
289,Rps21,27.589584,0.6808132,7.653899741602455e-143,3.2785108609478693e-141
290,Txn1,27.536852,0.91714746,2.1494977669139914e-146,9.499207326515759e-145
291,Hpf1,27.468935,1.492664,1.6889356645489847e-130,6.402055503339551e-129
292,Tk1,27.456705,2.466831,8.286491491923984e-121,2.8064100811620684e-119
293,Atic,27.42778,1.6745443,1.9572363827838292e-128,7.193339963419919e-127
294,BC003965,27.371506,1.3605322,3.5731765840252496e-133,1.4013503577046212e-131
295,Chchd1,27.361198,1.0499667,8.538447290840948e-138,3.5081207814681895e-136
296,Suclg2,27.319012,1.46289,1.349577232207934e-130,5.1371827458772175e-129
297,Naa50,27.25082,1.4217002,1.1462876493243617e-129,4.300121308096917e-128
298,Snrnp40,27.246088,1.3729678,3.9783657910691585e-131,1.5239748365408472e-129
299,Mcm5,27.103203,2.5606906,7.493959454992476e-118,2.4075009107271042e-116
300,Mtx2,27.05928,1.1699799,4.410582896249263e-134,1.7525296380951843e-132
301,Rpl34,27.013695,0.67784655,3.175834345438847e-133,1.2482200109545872e-131
302,1110008F13Rik,26.948929,1.0703734,3.3609791339253715e-137,1.3746632263565193e-135
303,Prdx4,26.834484,1.423256,1.167524032447107e-127,4.2649935370784545e-126
304,Ptges3,26.791517,0.9312242,6.991906960645318e-134,2.7660777777277837e-132
305,Mpp6,26.771122,1.5454935,3.0266926187039824e-124,1.0628031697344468e-122
306,Xrn2,26.74142,1.227651,6.402720117521684e-129,2.3772722501921185e-127
307,Tomm7,26.737068,0.8971024,1.6761083602401987e-134,6.7040634391152674e-133
308,Pgp,26.733139,1.1946685,4.500534550444815e-129,1.6778844757100741e-127
309,Fam162a,26.726793,1.1359568,1.2471594246168221e-136,5.0666550705453363e-135
310,Rfc5,26.716566,1.8406291,9.872287240045696e-121,3.3310236965062935e-119
311,Hnrnpa0,26.67998,0.9924462,2.0079441776220013e-132,7.840935464295914e-131
312,Fh1,26.673805,1.210396,3.730263561372054e-130,1.4080967805937552e-128
313,Gpx2,26.636919,1.8367413,4.856113004550712e-122,1.6695998392685834e-120
314,Prap1,26.579824,1.6938775,1.2223509776267128e-131,4.712293056089023e-130
315,Lig1,26.5577,2.2009192,2.463592021540905e-116,7.803815356346095e-115
316,Mrps14,26.52989,0.98530287,1.428408762101969e-132,5.589921892122154e-131
317,Pcna,26.491293,1.7555661,2.071106579825246e-118,6.749348942419718e-117
318,Lsm7,26.487137,1.233326,1.0292185915005094e-126,3.7222378561672117e-125
319,Bzw1,26.431324,1.000598,2.3015199242665677e-130,8.705895513107713e-129
320,Tomm20,26.41844,0.8589031,1.2079520994976774e-131,4.6667130257565916e-130
321,Magoh,26.39745,1.0371569,1.0835170554468564e-129,4.0730799849878817e-128
322,Mrpl28,26.33272,1.0431434,6.305788364865525e-129,2.346089925728921e-127
323,Cenpf,26.308355,2.5035048,1.0398996053564742e-114,3.204411726097612e-113
324,Kif20b,26.27656,2.4233897,1.5961592314900033e-113,4.844356635739928e-112
325,Ola1,26.2437,1.1633508,5.103881426234153e-126,1.8276131929236487e-124
326,Ccnb2,26.227476,2.2036705,3.1177861744046562e-115,9.706386201724737e-114
327,Idh3a,26.209349,1.3680726,2.3433496045045296e-123,8.165221439234148e-122
328,Mrps31,26.186737,1.367406,8.514567041013512e-122,2.9218833374265876e-120
329,Fam136a,26.180887,1.2327344,4.254950800807643e-125,1.5057705773405018e-123
330,Cbx5,26.179981,1.3987341,2.5527938223535314e-121,8.727183257966724e-120
331,Aurkb,26.12529,2.5475638,3.2449195260702397e-112,9.606976616481484e-111
332,Psmg3,26.08199,1.4657195,1.189786751163457e-120,4.007016011957375e-119
333,Snx7,26.079226,1.5691233,2.856175412276382e-119,9.426419361572999e-118
334,Phf5a,26.06719,1.0905427,2.22665725520148e-124,7.833942292620509e-123
335,Hspa9,26.066147,1.0962676,3.9188209573619545e-126,1.4060419193354704e-124
336,Fkbp4,26.028288,0.884995,9.694490510670163e-129,3.592116023779809e-127
