,names,scores,logfoldchanges,pvals,pvals_adj
9870,Gm14964,1.0219605,0.22636867,0.30685697139744195,0.42452669450993774
9871,AC087898.2,1.0215784,0.9715217,0.30705098069562303,0.4246193152095334
9872,Guf1,1.020644,0.0807398,0.3074845420716137,0.4251378630475939
9873,P4htm,1.0200882,0.15613128,0.3077492782308049,0.4254708467967633
9874,Cyp2d22,1.0199862,0.22336757,0.3077937600445263,0.42549929549491833
9875,Rab4b,1.0198038,0.5237832,0.30787840280120005,0.4255832546292895
9876,Gcnt4,1.018678,1.4039443,0.30844038733854284,0.4262938810952762
9877,Bglap3,1.0180947,1.4671735,0.3087212268342382,0.42661577809560125
9878,Pou4f1,1.0170536,0.6690136,0.30918669037433993,0.42716124439870984
9879,Tshr,1.0165749,1.5149907,0.309447153866543,0.42745299851190943
9880,Dcun1d4,1.0162938,0.12634833,0.30954898923025415,0.4275604879567412
9881,Mindy4,1.0158147,0.15292594,0.30977722769787375,0.4278425398061881
9882,Gm19710,1.0154514,0.7454658,0.30995311611930004,0.4280190432058604
9883,Gnb5,1.0149194,0.092939496,0.3102012002012402,0.42832839683361074
9884,Acsbg1,1.0148829,1.3087821,0.3102496559794458,0.42833738263911725
9885,Pomgnt1,1.0127296,0.09609279,0.3112476578379319,0.4295401077310581
9886,Map9,1.01245,0.10914906,0.31138223163734663,0.4296592033445558
9887,Lrguk,1.0122808,0.4714137,0.31146001549765806,0.42969991287074205
9888,Armc7,1.0117959,0.21283597,0.31169132903548746,0.4299857131544352
9889,4933429H19Rik,1.0115321,0.4344784,0.3118195198919265,0.43012921993771636
9890,Dennd1a,1.0112523,0.120179996,0.3119546346593582,0.4302687632272389
9891,Zfp287,1.0112153,0.2870929,0.3119690257421767,0.4302687632272389
9892,Spef1,1.0101088,0.16316842,0.312504085617179,0.430773075504204
9893,Sema3b,1.0097975,0.12887119,0.3126500348402436,0.4309075199501616
9894,Stat6,1.008834,0.16159639,0.3131108366735333,0.43147579877594583
9895,Susd6,1.0082327,0.1400395,0.31340159346382235,0.43178409583343075
9896,Dock5,1.0082136,0.29762933,0.3134073324813441,0.43178409583343075
9897,Wdr91,1.0080853,0.18487293,0.3134697068553928,0.4318031869699731
9898,Gm29629,1.0074248,1.2935117,0.3138045921621802,0.4321975967569489
9899,Zfp661,1.0072552,0.28876016,0.31386924452582665,0.4322197549558808
9900,Gm16059,1.0070018,1.1337543,0.3139953933363134,0.432360021767338
9901,Spata33,1.005797,0.24543102,0.3145687477377619,0.4330825052001053
9902,Alpi,1.004841,0.89907295,0.3150365942086778,0.43359246709305377
9903,Hspb8,1.0034641,0.14132038,0.31569251759509914,0.43436088839706
9904,Anks1,1.0034053,0.16085161,0.31572446158377154,0.43437126419779976
9905,Zfp526,1.0029347,0.31224194,0.31594753896941413,0.43457740465617584
9906,Ralb,1.002869,0.07689303,0.31598234176933665,0.43459169243503265
9907,Gm17102,1.0026672,0.45051593,0.3160779295676252,0.4346895732290604
9908,Ahrr,1.0023426,0.82667136,0.31625388674522076,0.4348643633885616
9909,C230035I16Rik,1.0023057,0.29271472,0.3162513643124763,0.4348643633885616
9910,Dkkl1,1.0020082,0.7324072,0.31641274296913313,0.43504919085822413
9911,Morn4,1.0017177,0.2266626,0.3165350342260592,0.4351837189483165
9912,Gm39526,1.0016327,1.4451059,0.31658572855665335,0.4352197998384638
9913,Lingo4,1.0,16.132801,0.3174317812462929,0.4360461264225974
9914,Idi2,1.0,17.136074,0.3174317812462931,0.4360461264225974
9915,Eml2,0.9996527,0.13434373,0.31753608013533957,0.4361557393633031
9916,Gm17455,0.99865013,0.97489834,0.31802697261111473,0.4367626041569202
9917,Sumf1,0.99818844,0.17133223,0.31824592429730364,0.4369958692040426
9918,9430037G07Rik,0.9980662,0.48628476,0.3183067433745034,0.4370334925357632
9919,AC140186.1,0.99802643,0.49006864,0.31832242869248145,0.4370334925357632
9920,Wdpcp,0.99726653,0.23544438,0.3186940214971479,0.43744244159849105
9921,Gm28285,0.9968076,0.6668049,0.3189152292664537,0.43767857216213385
9922,Gpr4,0.9964933,0.52141035,0.31906697688031627,0.4377569846993629
9923,Gm3716,0.99649036,0.29996115,0.31906717249405747,0.4377569846993629
9924,Gna15,0.996454,1.4596487,0.3190953301390019,0.4377569846993629
9925,Gm38079,0.9960478,0.77117044,0.31928470418131855,0.4379830251562477
9926,Megf6,0.99586266,0.3043662,0.319371790264716,0.43806872672512487
9927,Mettl7a3,0.994916,1.6098801,0.3198532227392439,0.43866148122032056
9928,Samd13,0.99475163,1.0287677,0.3199240862441218,0.438724864032771
9929,Gm32364,0.99472445,2.09793,0.3199706274818497,0.43875488553862757
9930,Mtmr7,0.9939344,0.09021813,0.32031132175528065,0.4390529437273984
9931,Map3k14,0.9931818,0.2028099,0.32067670245796465,0.4394522521943006
9932,Fosl1,0.9930748,0.48328727,0.32073650006292065,0.43950036190300135
9933,Gm16299,0.9912416,0.6033939,0.32162429043267826,0.4404861843385365
9934,1700019D03Rik,0.99085546,0.12571779,0.3218118084060342,0.44070243034523837
9935,Hgsnat,0.99062675,0.10145745,0.321927165240019,0.440826489827859
9936,Gm16253,0.9901727,1.970047,0.3221850525643213,0.4411057020011341
9937,Gfod1,0.9899032,0.64090604,0.32227847158348655,0.44117179067800205
9938,Tmem254c,0.98928505,0.6768847,0.3225820160949979,0.4415194068812736
9939,1700011H14Rik,0.9890326,0.05833487,0.3227029741879419,0.441594164250566
9940,9330020H09Rik,0.98898023,0.16489655,0.3227274393978399,0.441594164250566
9941,Ppp1r42,0.98824424,1.370233,0.3231139217685105,0.44200951486931195
9942,Rbbp8nl,0.98824155,0.6380343,0.32308880645971605,0.44200912727560876
9943,Usp34,0.9879,0.049469758,0.32326528125076703,0.44218258712546327
9944,Fig4,0.9877935,0.17144716,0.32330826745894126,0.4422074043928964
9945,BC030343,0.9877223,0.5636081,0.3233472526426068,0.44222674583468313
9946,Sfxn5,0.9875915,0.253978,0.3234109541486877,0.4422798850527536
9947,Cep112os1,0.98733485,1.2474873,0.3235484412512202,0.4423659462533005
9948,D530049I02Rik,0.98701376,0.75417715,0.32369222416688803,0.44249455419480893
9949,Zc3h4,0.9865551,0.09424244,0.3239191735815641,0.4427707947897282
9950,1700007F19Rik,0.98646,0.8573405,0.32396651259118214,0.44280149920318224
9951,Ptar1,0.985924,0.18881123,0.32423124035256323,0.4430931913824515
9952,Tmod4,0.98527867,0.89734995,0.32454855112663483,0.4434608282838796
9953,Msln,0.984743,0.26633593,0.3248044579841367,0.4437423710275258
9954,St3gal5,0.9842633,0.1804528,0.3250416576530333,0.4439982738257995
9955,4833445I07Rik,0.98388934,0.6257011,0.32522688720171455,0.44414904037060915
9956,Zfp93,0.9836277,0.30637583,0.32535623179313466,0.4442343027349203
9957,Setd4,0.9834612,0.16160211,0.3254413376369012,0.4443055537610708
9958,Bhlhe22,0.98319024,1.9806546,0.32560919387420495,0.4444665376503718
9959,Dennd1c,0.9824889,0.11308087,0.3259154533912204,0.44481636791624934
9960,Fam160b2,0.982213,0.13661097,0.32605289409256677,0.44496983169881843
9961,Cd68,0.982091,0.15475795,0.32611414771573455,0.4450193061438266
9962,Gulp1,0.9795095,0.10143618,0.3273839654804578,0.44663940854490936
9963,Slc35f3,0.9794699,0.31985486,0.32740174172438075,0.44663940854490936
9964,Prr23a3,0.9793412,1.0291321,0.3274673726911459,0.44669470717314713
9965,Gm32540,0.9786616,1.2319365,0.3278176357148245,0.4470914933944719
9966,Gm47794,0.97856617,1.0477352,0.32785872265606975,0.4470914933944719
9967,Zscan18,0.97745466,0.16764499,0.32840075950982917,0.4476563063073469
9968,Tmem184b,0.9773271,0.11249857,0.3284632335263612,0.4476563063073469
9969,Mtr,0.97730786,0.15456435,0.3284741020606886,0.4476563063073469
9970,Gpr62,0.9767891,0.8760564,0.3287361877941266,0.44795496744213525
9971,Efnb3,0.9767636,0.14174229,0.3287435808818322,0.44795496744213525
9972,Gm30735,0.97639656,1.5588667,0.32894046332570426,0.448188935027368
9973,Zbtb7b,0.97561055,0.14915922,0.32931327284317646,0.44855955437775796
9974,Kirrel3,0.97520196,0.22363351,0.32951372109138344,0.4487639047763294
9975,Ccdc40,0.9748589,0.12873384,0.3296844219702947,0.448962031296094
9976,Prss44,0.97463644,1.7107604,0.32982263424191116,0.4490815336576163
9977,Arsg,0.9734435,0.29053685,0.3303864484261576,0.4496451814016537
9978,AI314180,0.9734308,0.066678375,0.33039933173033786,0.4496451814016537
9979,Rab30,0.9730634,0.18188557,0.3305754465251751,0.4498312780481704
9980,Synpr,0.972635,0.56041276,0.3307887564025308,0.45001598130826387
9981,Casp2,0.9724956,0.0869445,0.33086231253724285,0.4500496074555191
9982,Gm28578,0.97191375,0.5999941,0.3311486019541068,0.4503328592981181
9983,Nr4a3,0.97168344,0.45880032,0.3312633512586709,0.4503328592981181
9984,Tgfbrap1,0.9715132,0.1339936,0.33135129504779204,0.45040496768619304
9985,Gm42743,0.97138995,0.5339646,0.3314081737853094,0.45044788434472416
9986,Gm5426,0.97119147,0.9347687,0.33151233467638985,0.45055284323673983
9987,Acox1,0.9706605,0.13544369,0.3317747044831727,0.4508083770840056
9988,Syce1,0.9692028,0.5513612,0.3324998928349181,0.45148356796563754
9989,Arrdc1,0.9688646,0.077999875,0.3326699983301359,0.45164563879768277
9990,Gm44686,0.96827585,2.1854994,0.3330077040583428,0.4520696409577869
9991,Sox15,0.968157,1.5612043,0.33303853982813425,0.4520761993826162
9992,Gm26602,0.96806055,1.6012644,0.33308932379039624,0.4520761993826162
9993,Slc39a1,0.968043,0.08304814,0.3330793881871368,0.4520761993826162
9994,Kcnd2,0.9673206,0.738956,0.33344186305863566,0.45227959783919186
9995,Wbp1l,0.9654087,0.089090966,0.334396664356857,0.45333287323321053
9996,Snapc4,0.9644823,0.14157051,0.33486355307508897,0.4538648270916022
9997,Prpf39,0.96438223,0.064267635,0.33491267158085525,0.45389413386167377
9998,Rb1cc1,0.9639213,0.05880146,0.33514397773006455,0.45410389005063173
9999,Zfp652os,0.96362406,1.3653786,0.3353145451204431,0.4543004188722703
10000,Lag3,0.9634508,0.34327015,0.33537438177690926,0.45434690582456694
10001,Bbs9,0.9632744,0.2016375,0.33546801775071133,0.45443917168665615
10002,Tmco4,0.9626564,0.19907384,0.3357729614234424,0.45474843744482035
10003,F530104D19Rik,0.96257424,1.40411,0.33584343118271187,0.4548092722955167
10004,AC144408.3,0.962114,1.2315365,0.33606323280334505,0.45503769541301853
10005,B230317F23Rik,0.96161485,0.34830728,0.33629719329492547,0.45528521757299006
10006,2700046G09Rik,0.960859,0.1604202,0.3366770116944209,0.4557300994799005
10007,Itm2c,0.96081,0.0555573,0.3367048630498557,0.45573314290072475
10008,Arhgap27os2,0.95983374,0.1300192,0.33719220646835135,0.4562606110579157
10009,Hus1b,0.95983326,0.8573692,0.3371970976666787,0.4562606110579157
10010,Coq8b,0.95972157,0.13468106,0.3372496858832349,0.4562970818426255
10011,Hmcn2,0.95932716,0.9935708,0.33745588617838207,0.45654136763511444
10012,Lpcat4,0.9591586,0.18502595,0.33753309005466736,0.45661111133706334
10013,Spon2,0.9570303,0.10440913,0.3386061938823237,0.4577149340146842
10014,Acpp,0.95649266,0.49973786,0.33887636555776834,0.4579758034263364
10015,Klk13,0.9554212,0.5912096,0.339420171859803,0.4585867603007674
10016,Hsd17b14,0.9553962,0.35231456,0.33943149252598936,0.4585867603007674
