,names,scores,logfoldchanges,pvals,pvals_adj
8688,Prr18,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8689,Fgf7,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8690,Gm39214,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8691,Gm26753,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8692,Sbp,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8693,Fam129a,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8694,Hs3st5,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8695,Myl1,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8696,Tpsb2,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8697,1700022N22Rik,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8698,Gm28626,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8699,Gm10010,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8700,Upk3a,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8701,Gm35188,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8702,Prl6a1,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8703,Prok2,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8704,Adcy3,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8705,Pfn4,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8706,Icam5,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8707,Fscn1,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8708,Gm45515,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8709,Col23a1,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8710,Stag3,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8711,Azgp1,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8712,9130015A21Rik,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8713,Hist1h1t,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8714,Upk3bl,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8715,Galnt18,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8716,Slc25a21,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8717,Gm9887,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8718,Btnl9,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8719,Gm29243,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8720,Hist1h4k,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8721,Hist1h2bl,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8722,Gm47689,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8723,Dnah10,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8724,Gm38414,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8725,Gm9821,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8726,Gm26545,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8727,Fam71b,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8728,Smtnl1,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8729,Gm34777,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8730,Abcb1b,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8731,Gm44696,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8732,Sema4f,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8733,Gm4353,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8734,2010203P06Rik,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8735,Sp9,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8736,Gm19792,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8737,Gm12264,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8738,Gm28402,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8739,Carlr,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8740,Gm47400,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8741,Cyct,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8742,Tbx20,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8743,Pjvk,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8744,Eprn,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8745,Gm30717,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8746,Thsd1,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8747,Gm44731,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8748,Gm5608,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8749,Slc6a15,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8750,Gm31219,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8751,Clec2l,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8752,Gm27019,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8753,Gm44421,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8754,Hhipl2,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8755,Gm15351,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8756,B230220B15Rik,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8757,Gm19426,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8758,Gm39090,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8759,Ildr2,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8760,Syndig1l,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8761,Shisa6,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8762,Spink2,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8763,Rgs5,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8764,Arl9,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8765,Gm5136,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8766,Stk32c,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8767,Gm49097,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8768,Gm41231,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8769,Rbm44,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8770,Ldb2,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8771,Psca,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8772,Syce1,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8773,Evc,-1.0,-18.350632,0.3173688527234977,0.3852672030579831
8774,AC116487.2,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8775,Oas1f,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8776,AC157566.4,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8777,Comp,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8778,Apol8,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8779,Gm12298,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8780,Dmtn,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8781,Prrxl1,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8782,4933408J17Rik,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8783,Hal,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8784,Lrrc25,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8785,Gm11032,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8786,AC147041.1,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8787,Grin1os,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8788,Gm16054,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8789,1700020N18Rik,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8790,4930512H18Rik,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8791,Gc,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8792,Panct2,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8793,Lhx5,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8794,2810404M03Rik,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8795,Gm26995,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8796,Srrm4,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8797,Olfr1369-ps1,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8798,Cox6a2,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8799,Gm46401,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8800,Gm10721,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8801,Gm36283,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8802,Cyb5r2,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8803,A930041C12Rik,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8804,Dhrs9,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8805,Adssl1,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8806,Mfap5,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8807,Tex22,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8808,Gm43251,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8809,Dppa3,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8810,C87414,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8811,Fbxw10,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
